"name;synonym"
"Palmitoyl Tetrapeptide-7;N/A"
"Petrolatum;Petroleum Jelly"
"Hydroquinone;N/A"
"Sodium Ascorbyl Phosphate;N/A"
"Palmitoyl Tripeptide-1;Pal-Ghk and Palmitoyl Oligopeptide"
"Ethylhexylglycerin;N/A"
"Resveratrol;N/A"
"Xanthan Gum;Xanthomonas Campestris Gum"
"Artemisia Vulgaris Extract;Mugwort Extract"
"3-O-Ethyl Ascorbic Acid;Ethyl Ascorbic Acid"
"Ascorbyl Glucoside;Aa2g"
"Bacillus/Royal Jelly/Green Tea/Soybean Ferment Filtrate;N/A"
"Niacin;Nicotinic Acid"
"Phenoxyethanol;2-Phenoxyethanol"
"Parfum;Fragrance, Fragrance Oil, and Fo"
"Zinc Pyrithione;N/A"
"Polyglutamic Acid;Natto Gum, Gamma Polyglutamic Acid, and Sodium Polyglutamate"
"Pantothenic Acid;B5 and Vitamin B5"
"Sodium Benzoate;N/A"
"Rosa Canina Fruit Oil;Rosehip Seed Oil, Rose Hip Oil, and Rosehip Essential Oil"
"Arginine;L-Arginine and (2s)-2-Amino-5-Guanidinopentanoic Acid"
"Dipotassium Glycyrrhizate;Licorice Extract and Sweet Root"
"Ceramide 4;N/A"
"Hexapeptide-9;N/A"
"Kaolin;Kaolin Clay, White Clay, Pink Clay, Magnesium Silicate, and China Clay"
"Rice Ferment Filtrate;N/A"
"Linoleic Acid;Lanolic Acid and Vitamin F"
"Madecassic Acid;N/A"
"Salix Alba Bark Extract;Willow Bark and White Willow Bark Extract"
"Aloe Vera Callus Extract;N/A"
"Argania Spinosa Kernel Oil;Argan Oil and Argan Tree Kernel Oil"
"Disodium EDTA;Disodium and Disodium Edetate"
"Calendula Officinalis Flower Extract;Calendula, Infused Oil, and Pot Marigold"
"Ubiquinone;Coenzyme Q10, Coq10, and Ubiquinone-10"
"Glutathione;N/A"
"Ascorbyl Tetraisopalmitate;Atip and Thd Ascorbate"
"Helianthus Annuus Seed Oil;Sunflower Oil and Sunflower Seed Oil"
"Ceramide 6 Ii;N/A"
"Betaine Salicylate;N/A"
"Ceramide 5;N/A"
"Dipeptide-2;N/A"
"Camellia Sinensis Leaf;Green Tea Leaf"
"Chamomilla Recutita Flower Extract;German Chamomile Flower Oil"
"Magnesium Ascorbyl Phosphate;N/A"
"Retinyl Palmitate;Vitamin A Palmitate"
"Asiaticoside;N/A"
"Sodium PCA;Sodium 5-Oxo-2-Pyrrolidinecarboxylate"
"Sodium Hyaluronate Crosspolymer;N/A"
