name;synonym
Retinal;Retinaldehyde
Ceramide 1;N/A
Allantoin;N/A
Copper Tripeptide-1;Ghk-Cu, Glycyl-L-Histidyl-L-Lysine, Ghk, and Copper Peptide
Centella Asiatica Leaf Cell Extract;N/A
Aloe Barbadensis Leaf Juice;Aloe Vera, Aloe Vera Leaf, Aloe Vera 100x, Aloe Vera 200x, and Aloe Vera Gel
Tranexamic Acid;Txa
Propolis Extract;N/A
Aloe Barbadensis Leaf;Aloe and Aloe Vera Leaf Powder
Hydrolyzed Hyaluronic Acid;N/A
Mandelic Acid;Amygdalic Acid
Urea;Carbamide
Adapalene;N/A
Kojic Acid;N/A
Bakuchiol;N/A
Collagen;Vegetable Collagen
Zinc Oxide;N/A
Ceramide EOP;2-Stearoyloxyheptacosamide, Stearoyloxyheptacosanoyl-C18-Phytosphingosine, and Stearoyloxyheptacosanoyl-4-Hydroxysphinganine
Zinc;N/A
Dimethicone;N/A
Ceramide 3;N/A
Butylene Glycol;Bg
Caprylic/Capric Triglyceride;N/A
Madecassoside;N/A
Caffeine;N/A
Snail Extract;N/A
Centella Asiatica Leaf Extract;N/A
Tocopheryl Acetate;N/A
Arbutin;N/A
Ferulic Acid;N/A
Squalene;N/A
Butyrospermum Parkii Butter;Shea Butter and Karite Butter
Colloidal Oatmeal;N/A
Ceramide Ag;N/A
Rosa Damascena Flower Water;Rose Water, Rose Hydrosol, and Damask Rose Water
Centella Asiatica Leaf;N/A
Ceramide Ng;Ceramide 2
1,2-Hexanediol;1,2 Hexanediol
Beta-Glucan;N/A
Propanediol;Propandiol, Trimethylene Glycol, 1,3-Dihydroxypropane, 2-Deoxyglycerol, Methylpropanediol, and Propane-1,3-Diol
Houttuynia Cordata Extract;Fish Mint, Fish Mint Extract, Heart Leaf Extract, and Chameleon Plant
Avena Sativa Kernel Extract;Oat Extract and Colloidal Oatmeal
Ceramide Ns;2-Hexadecanamide, Palmitoyl-C16-Dihydrosphingosine, 1-Stearoyl-C18-Sphingosine, and 1,3-Hexadecanediol
Ceramide As;N/A
Acetyl Hexapeptide-8;Agireline, Acetyl Hexpeptide-3, and Argireline
Betaine;N/A
Sulfur;N/A
Panax Ginseng Root Extract;Black Ginseng Extract, Korean Ginseng, and Korean Red Ginseng
Honey;Mel
Zinc PCA;N/A
Tripeptide-1;N/A
Centella Asiatica Flower/Leaf/Stem Extract;N/A
Caprylyl Glycol;N/A
Melaleuca Alternifolia Leaf Extract;Tea Tree Leaf Extract
Palmitoyl Pentapeptide-4;Collagen Pentapeptid, Kttks, and Matrixyl
Tetrahexyldecyl Ascorbate;N/A
Ceramide 2;N/A
Melaleuca Alternifolia Leaf Oil;Tea Tree Oil, Tea Tree Essential Oil, and Tto
Titanium Dioxide;Titanium Dioxide, Titanium, and Titanium Dioxide (Ci 77891)
Centella Asiatica Leaf Water;N/A
Aloe Barbadensis Leaf Extract;N/A
Sodium Hydroxide;Lye, Caustic Soda, and Naoh
Glycyrrhiza Glabra Root Extract;Licorice Root Extract
Clindamycin Phosphate;N/A
Adenosine;N/A
Galactomyces Ferment Filtrate;N/A
Cholesterol;N/A
Bisabolol;Alpha-Bisabolo
Oryza Sativa Extract;Rice Extract and Asian Rice
Gluconolactone;N/A
