page_number;name;synonym
769;Bis-Hema Poly(1,4-Butanediol)-14/Ipdi Copolymer;Bis-Hema Poly(1,4-Butanediol)-14/Ipdi Copolymer
769;Bis-Hema Poly(Butylene/Hexamethylene Carbonate)/Ipdi Copolymer;Bis-Hema Poly(Butylene/Hexamethylene Carbonate)/Ipdi Copolymer
769;Bis-Hema Poly(Caprolactone/Pentaerythritol)/Ipdi Copolymer Succinate;Bis-Hema Poly(Caprolactone/Pentaerythritol)/Ipdi Copolymer Succinate
769;Bis-Hydrogenated Tallow Amine Dilinoleic Acid/Ethylenediamine Copolymer;Bis-Hydrogenated Tallow Amine Dilinoleic Acid/Ethylenediamine Copolymer
769;Bis-Hydroxyethyl Acrylate Poly(1,4-Butanediol)-9/Ipdi Copolymer;Bis-Hydroxyethyl Acrylate Poly(1,4-Butanediol)-9/Ipdi Copolymer
769;Bis-Hydroxyethyl Cocomonium Nitrate;Bis-Hydroxyethyl Cocomonium Nitrate
769;Bis-Hydroxypropyltrisiloxyl Ipdi/Peg-23 Copolymer;Bis-Hydroxypropyltrisiloxyl Ipdi/Peg-23 Copolymer
769;Bis-Hema Poly(Hexamethylene/Ethylene Carbonate)/Ipdi Copolymer;Bis-Hema Poly(Hexamethylene/Ethylene Carbonate)/Ipdi Copolymer
769;Bis-Hema Ppg-17/Ipdi Copolymer;Bis-Hema Ppg-17/Ipdi Copolymer
769;Ethylhexyl Meadowfoamate;Ethylhexyl Meadowfoamate
769;C18-38 Alkyl C24-54 Acid Ester;C18-38 Alkyl C24-54 Acid Ester
769;Trimethylsilyl Hydrolyzed Collagen Pg-Propyl Methylsilanediol Crosspolymer;Trimethylsilyl Hydrolyzed Collagen Pg-Propyl Methylsilanediol Crosspolymer
769;C20-40 Alkyl Behenate;C20-40 Alkyl Behenate
769;Butenyl Aminolevulinate Hcl;Butenyl Aminolevulinate Hcl
769;C18-30 Glycol;C18-30 Glycol
769;Bis-Isobutyl Peg-15/Amodimethicone Copolymer;Bis-Isobutyl Peg-15/Amodimethicone Copolymer
769;Bis-Isostearoyl Castor Oil/Dimer Dilinoleate Copolymer;Bis-Isostearoyl Castor Oil/Dimer Dilinoleate Copolymer
769;Syzygium Australe Fruit Extract;Syzygium Australe Fruit Extract
769;Bis-Hema Polycaprolactone Diol/Ipdi Copolymer;Bis-Hema Polycaprolactone Diol/Ipdi Copolymer
769;Bis-Hema Ppg-26/Ipdi Copolymer;Bis-Hema Ppg-26/Ipdi Copolymer
769;Bis-Hydroxyethylacrylate Polyhexamethylene Carbonate/Ipdi Copolymer;Bis-Hydroxyethylacrylate Polyhexamethylene Carbonate/Ipdi Copolymer
769;Bis-Hydroxypropyltrisiloxyl Ipdi/Peg-14 Copolymer;Bis-Hydroxypropyltrisiloxyl Ipdi/Peg-14 Copolymer
769;Palmitoyl Ethyltrimonium Methosulfate;Palmitoyl Ethyltrimonium Methosulfate
769;Tussilago Farfara Callus Culture Extract;Tussilago Farfara Callus Culture Extract
770;Bis-Hema Polyneopentyl Glycol Adipate/Ipdi Copolymer;Bis-Hema Polyneopentyl Glycol Adipate/Ipdi Copolymer
770;Abies Alba Wood Extract;Abies Alba Wood Extract
770;Alpinia Speciosa Flower Water;Alpinia Speciosa Flower Water
