,name,synonym,all_possible_synonyms,all_possible_synonyms_formatted,all_possible_synonyms_tok
21,Adenosine Phosphate,"Adenosine Monophosphate, Amp","Adenosine Phosphate, Adenosine Monophosphate, Amp","Adenosine Phosphate, Adenosine Monophosphate, Amp","adenosine phosphate, adenosine monophosphate, amp"
22,Elaeis Guineensis Oil,"African Palm Oil, Macaw-Fat","Elaeis Guineensis Oil, African Palm Oil, Macaw-Fat","Elaeis Guineensis Oil, African Palm Oil, Macaw-Fat","elaeis guineensis oil, african palm oil, macaw-fat"
23,Gelidium Amansii Extract,Agar,"Gelidium Amansii Extract, Agar","Gelidium Amansii Extract, Agar","gelidium amansii extract, agar"
24,Acetyl Hexapeptide-8,"Agireline, Acetyl Hexpeptide-3,Argireline","Acetyl Hexapeptide-8, Agireline, Acetyl Hexpeptide-3,Argireline","Acetyl Hexapeptide-8. Agireline, Acetyl Hexpeptide-3.Argireline","acetyl hexapeptide-8. agireline, acetyl hexpeptide-3.argireline"
25,Ahnfeltia Concinna Extract,Ahnfeltia Extract,"Ahnfeltia Concinna Extract, Ahnfeltia Extract","Ahnfeltia Concinna Extract, Ahnfeltia Extract","ahnfeltia concinna extract, ahnfeltia extract"
26,Linolenic Acid,"Ala, Alpha-Linolenic Acid,Omega-3 Fatty Acid","Linolenic Acid, Ala, Alpha-Linolenic Acid,Omega-3 Fatty Acid","Linolenic Acid, Ala, Alpha-Linolenic Acid,Omega-3 Fatty Acid","linolenic acid, ala, alpha-linolenic acid,omega-3 fatty acid"
27,Medicago Sativa Extract,Alfalfa Extract,"Medicago Sativa Extract, Alfalfa Extract","Medicago Sativa Extract, Alfalfa Extract","medicago sativa extract, alfalfa extract"
28,Medicago Sativa Leaf Powder,Alfalfa Powder,"Medicago Sativa Leaf Powder, Alfalfa Powder","Medicago Sativa Leaf Powder, Alfalfa Powder","medicago sativa leaf powder, alfalfa powder"
29,Alkanna Tinctoria Root Extract,"Alkanet, Alkanet Root","Alkanna Tinctoria Root Extract, Alkanet, Alkanet Root","Alkanna Tinctoria Root Extract, Alkanet, Alkanet Root","alkanna tinctoria root extract, alkanet, alkanet root"
30,Tretinoin,"All-Trans-Retinoic Acid, Retinoic Acid","Tretinoin, All-Trans-Retinoic Acid, Retinoic Acid","Tretinoin, All-Trans-Retinoic Acid, Retinoic Acid","tretinoin, all-trans-retinoic acid, retinoic acid"
31,Aloe Barbadensis Leaf,"Aloe, Aloe Vera Leaf Powder","Aloe Barbadensis Leaf, Aloe, Aloe Vera Leaf Powder","Aloe Barbadensis Leaf, Aloe, Aloe Vera Leaf Powder","aloe barbadensis leaf, aloe, aloe vera leaf powder"
32,Aloe Barbadensis Leaf Juice,"Aloe Vera, Aloe Vera Leaf, Aloe Vera 100x, Aloe Vera 200x,Aloe Vera Gel","Aloe Barbadensis Leaf Juice, Aloe Vera, Aloe Vera Leaf, Aloe Vera 100x, Aloe Vera 200x,Aloe Vera Gel","Aloe Barbadensis Leaf Juice, Aloe Vera, Aloe Vera Leaf, Aloe Vera 100x, Aloe Vera 200x,Aloe Vera Gel","aloe barbadensis leaf juice, aloe vera, aloe vera leaf, aloe vera 100x, aloe vera 200x,aloe vera gel"
33,Thioctic Acid,"Alpha Lipoic Acid, Lipoic Acid","Thioctic Acid, Alpha Lipoic Acid, Lipoic Acid","Thioctic Acid, Alpha Lipoic Acid, Lipoic Acid","thioctic acid, alpha lipoic acid, lipoic acid"
34,Bisabolol,Alpha-Bisabolo,"Bisabolol, Alpha-Bisabolo","Bisabolol, Alpha-Bisabolo","bisabolol, alpha-bisabolo"
35,Amyris Balsamifera Bark Oil,"Alum, Alum Oil,Amyris Essential Oil","Amyris Balsamifera Bark Oil, Alum, Alum Oil,Amyris Essential Oil","Amyris Balsamifera Bark Oil, Alum, Alum Oil,Amyris Essential Oil","amyris balsamifera bark oil, alum, alum oil,amyris essential oil"
36,Alumina,Aluminum Oxide,"Alumina, Aluminum Oxide","Alumina, Aluminum Oxide","alumina, aluminum oxide"
37,Isoamyl P-Methoxycinnamate,Amiloxate,"Isoamyl P-Methoxycinnamate, Amiloxate","Isoamyl P-Methoxycinnamate, Amiloxate","isoamyl p-methoxycinnamate, amiloxate"
38,Mandelic Acid,Amygdalic Acid,"Mandelic Acid, Amygdalic Acid","Mandelic Acid, Amygdalic Acid","mandelic acid, amygdalic acid"
39,Amylcinnamyl Alcohol,Amyl Cinnamyl Alcohol,"Amylcinnamyl Alcohol, Amyl Cinnamyl Alcohol","Amylcinnamyl Alcohol, Amyl Cinnamyl Alcohol","amylcinnamyl alcohol, amyl cinnamyl alcohol"
40,Punica Granatum Fruit/Root/Stem Powder,Anardana,"Punica Granatum Fruit/Root/Stem Powder, Anardana","Punica Granatum Fruit/Root/Stem Powder, Anardana","punica granatum fruit/root/stem powder, anardana"
41,Angelica Archangelica Root Oil,Angelica Root,"Angelica Archangelica Root Oil, Angelica Root","Angelica Archangelica Root Oil, Angelica Root","angelica archangelica root oil, angelica root"
42,Angelica Archangelica Root Extract,Angelica Root Select,"Angelica Archangelica Root Extract, Angelica Root Select","Angelica Archangelica Root Extract, Angelica Root Select","angelica archangelica root extract, angelica root select"
43,Pimpinella Anisum Seed Oil,Anise Essential Oil,"Pimpinella Anisum Seed Oil, Anise Essential Oil","Pimpinella Anisum Seed Oil, Anise Essential Oil","pimpinella anisum seed oil, anise essential oil"
44,Anise Alcohol,"Anisyl Alcohol, 4-Methoxybenzyl Alcohol","Anise Alcohol, Anisyl Alcohol, 4-Methoxybenzyl Alcohol","Anise Alcohol, Anisyl Alcohol, 4-Methoxybenzyl Alcohol","anise alcohol, anisyl alcohol, 4-methoxybenzyl alcohol"
45,Bee Venom,Apitoxin,"Bee Venom, Apitoxin","Bee Venom, Apitoxin","bee venom, apitoxin"
46,Vinegar,"Apple Cider Vinegar, Brown Rice Vinegar","Vinegar, Apple Cider Vinegar, Brown Rice Vinegar","Vinegar, Apple Cider Vinegar, Brown Rice Vinegar","vinegar, apple cider vinegar, brown rice vinegar"
47,Pyrus Malus Fruit Extract,Apple Extract,"Pyrus Malus Fruit Extract, Apple Extract","Pyrus Malus Fruit Extract, Apple Extract","pyrus malus fruit extract, apple extract"
48,Prunus Armeniaca Kernel Oil,Apricot Kernel Oil,"Prunus Armeniaca Kernel Oil, Apricot Kernel Oil","Prunus Armeniaca Kernel Oil, Apricot Kernel Oil","prunus armeniaca kernel oil, apricot kernel oil"
49,Prunus Armeniaca Seed Powder,Apricot Seed Powder,"Prunus Armeniaca Seed Powder, Apricot Seed Powder","Prunus Armeniaca Seed Powder, Apricot Seed Powder","prunus armeniaca seed powder, apricot seed powder"
50,Argania Spinosa Kernel Oil,"Argan Oil, Argan Tree Kernel Oil","Argania Spinosa Kernel Oil, Argan Oil, Argan Tree Kernel Oil","Argania Spinosa Kernel Oil, Argan Oil, Argan Tree Kernel Oil","argania spinosa kernel oil, argan oil, argan tree kernel oil"
51,Maranta Arundinacea Root Extract,Arrow Root Extract,"Maranta Arundinacea Root Extract, Arrow Root Extract","Maranta Arundinacea Root Extract, Arrow Root Extract","maranta arundinacea root extract, arrow root extract"
52,Maranta Arundinacea Root Powder,Arrowroot Powder,"Maranta Arundinacea Root Powder, Arrowroot Powder","Maranta Arundinacea Root Powder, Arrowroot Powder","maranta arundinacea root powder, arrowroot powder"
53,Ascorbyl Palmitate,Ascorbyl-6 Palmitate,"Ascorbyl Palmitate, Ascorbyl-6 Palmitate","Ascorbyl Palmitate, Ascorbyl-6 Palmitate","ascorbyl palmitate, ascorbyl-6 palmitate"
54,Withania Somnifera Root Extract,Ashwagandha Extract,"Withania Somnifera Root Extract, Ashwagandha Extract","Withania Somnifera Root Extract, Ashwagandha Extract","withania somnifera root extract, ashwagandha extract"
55,Withania Somnifera Root Powder,Ashwagandha Root Powder,"Withania Somnifera Root Powder, Ashwagandha Root Powder","Withania Somnifera Root Powder, Ashwagandha Root Powder","withania somnifera root powder, ashwagandha root powder"
56,Panax Ginseng Root Water,"Asian Ginseng, Red Ginseng","Panax Ginseng Root Water, Asian Ginseng, Red Ginseng","Panax Ginseng Root Water, Asian Ginseng, Red Ginseng","panax ginseng root water, asian ginseng, red ginseng"
57,Betula Platyphylla Japonica Juice,"Asian White Birch Juice, Japanese White Birch Juice","Betula Platyphylla Japonica Juice, Asian White Birch Juice, Japanese White Birch Juice","Betula Platyphylla Japonica Juice, Asian White Birch Juice, Japanese White Birch Juice","betula platyphylla japonica juice, asian white birch juice, japanese white birch juice"
58,Populus Tremuloides Bark Extract,Aspen Bark,"Populus Tremuloides Bark Extract, Aspen Bark","Populus Tremuloides Bark Extract, Aspen Bark","populus tremuloides bark extract, aspen bark"
59,Astaxanthin,Astaxanthin Extract,"Astaxanthin, Astaxanthin Extract","Astaxanthin, Astaxanthin Extract","astaxanthin, astaxanthin extract"
60,Ascorbyl Tetraisopalmitate,"Atip, Thd Ascorbate","Ascorbyl Tetraisopalmitate, Atip, Thd Ascorbate","Ascorbyl Tetraisopalmitate, Atip, Thd Ascorbate","ascorbyl tetraisopalmitate, atip, thd ascorbate"
61,Adenosine Triphosphate,Atp,"Adenosine Triphosphate, Atp","Adenosine Triphosphate, Atp","adenosine triphosphate, atp"
62,Atractylodes Macrocephala Root Powder,"Atractyloides Macrocephala, Bai Zhu","Atractylodes Macrocephala Root Powder, Atractyloides Macrocephala, Bai Zhu","Atractylodes Macrocephala Root Powder, Atractyloides Macrocephala, Bai Zhu","atractylodes macrocephala root powder, atractyloides macrocephala, bai zhu"
63,Butyl Methoxydibenzoylmethane,Avobenzone,"Butyl Methoxydibenzoylmethane, Avobenzone","Butyl Methoxydibenzoylmethane, Avobenzone","butyl methoxydibenzoylmethane, avobenzone"
64,Persea Gratissima Fruit Extract,Avocado Fruit Extract,"Persea Gratissima Fruit Extract, Avocado Fruit Extract","Persea Gratissima Fruit Extract, Avocado Fruit Extract","persea gratissima fruit extract, avocado fruit extract"
65,Persea Gratissima Oil,"Avocado Oil, Persea Americana Oil","Persea Gratissima Oil, Avocado Oil, Persea Americana Oil","Persea Gratissima Oil, Avocado Oil, Persea Americana Oil","persea gratissima oil, avocado oil, persea americana oil"
66,Potassium Azeloyl Diglycinate,"Azeloglicina, Azeclair","Potassium Azeloyl Diglycinate, Azeloglicina, Azeclair","Potassium Azeloyl Diglycinate, Azeloglicina, Azeclair","potassium azeloyl diglycinate, azeloglicina, azeclair"
67,Pantothenic Acid,"B5, Vitamin B5","Pantothenic Acid, B5, Vitamin B5","Pantothenic Acid, B5. Vitamin B5","pantothenic acid, b5. vitamin b5"
68,Orbignya Oleifera Seed Oil,Babassu Oil,"Orbignya Oleifera Seed Oil, Babassu Oil","Orbignya Oleifera Seed Oil, Babassu Oil","orbignya oleifera seed oil, babassu oil"
69,Sodium Bicarbonate,Baking Soda,"Sodium Bicarbonate, Baking Soda","Sodium Bicarbonate, Baking Soda","sodium bicarbonate, baking soda"
70,Cardiospermum Halicacabum Flower/Leaf/Vine Extract,Balloon Vine Extract,"Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Balloon Vine Extract","Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Balloon Vine Extract","cardiospermum halicacabum flower/leaf/vine extract, balloon vine extract"
71,Melissa Officinalis Leaf Oil,"Balm Mint Leaf Oil, Lemon Balm Leaf Oil,Melissa Essential Oil","Melissa Officinalis Leaf Oil, Balm Mint Leaf Oil, Lemon Balm Leaf Oil,Melissa Essential Oil","Melissa Officinalis Leaf Oil, Balm Mint Leaf Oil, Lemon Balm Leaf Oil,Melissa Essential Oil","melissa officinalis leaf oil, balm mint leaf oil, lemon balm leaf oil,melissa essential oil"
72,Copaifera Officinalis Resin Oil,"Balsam, Copaiba Balsam","Copaifera Officinalis Resin Oil, Balsam, Copaiba Balsam","Copaifera Officinalis Resin Oil, Balsam, Copaiba Balsam","copaifera officinalis resin oil, balsam, copaiba balsam"
73,Abies Balsamea Resin,Balsam Fir Essential Oil,"Abies Balsamea Resin, Balsam Fir Essential Oil","Abies Balsamea Resin, Balsam Fir Essential Oil","abies balsamea resin, balsam fir essential oil"
74,Myroxylon Pereirae Resin,Balsam Peru/Peru Balsam Essential Oil,"Myroxylon Pereirae Resin, Balsam Peru/Peru Balsam Essential Oil","Myroxylon Pereirae Resin, Balsam Peru/Peru Balsam Essential Oil","myroxylon pereirae resin, balsam peru/peru balsam essential oil"
75,Bambusa Vulgaris Extract,Bamboo Extract,"Bambusa Vulgaris Extract, Bamboo Extract","Bambusa Vulgaris Extract, Bamboo Extract","bambusa vulgaris extract, bamboo extract"
76,Bambusa Vulgaris Leaf/Stem Extract,"Bamboo Leaf, Bamboo Stem","Bambusa Vulgaris Leaf/Stem Extract, Bamboo Leaf, Bamboo Stem","Bambusa Vulgaris Leaf/Stem Extract, Bamboo Leaf, Bamboo Stem","bambusa vulgaris leaf/stem extract, bamboo leaf, bamboo stem"
77,Bambusa Arundinacea Stem Powder,Bamboo Powder,"Bambusa Arundinacea Stem Powder, Bamboo Powder","Bambusa Arundinacea Stem Powder, Bamboo Powder","bambusa arundinacea stem powder, bamboo powder"
78,Bambusa Vulgaris Water,Bamboo Water,"Bambusa Vulgaris Water, Bamboo Water","Bambusa Vulgaris Water, Bamboo Water","bambusa vulgaris water, bamboo water"
79,Musa Sapientum Fruit Extract,"Banana, Banana Extract","Musa Sapientum Fruit Extract, Banana, Banana Extract","Musa Sapientum Fruit Extract, Banana, Banana Extract","musa sapientum fruit extract, banana, banana extract"
80,Adansonia Digitata Seed Oil,Baobab Seed Oil,"Adansonia Digitata Seed Oil, Baobab Seed Oil","Adansonia Digitata Seed Oil, Baobab Seed Oil","adansonia digitata seed oil, baobab seed oil"
81,Berberis Vulgaris Bark Extract,Barberry Bark,"Berberis Vulgaris Bark Extract, Barberry Bark","Berberis Vulgaris Bark Extract, Barberry Bark","berberis vulgaris bark extract, barberry bark"
82,Berberis Vulgaris Root Extract,Barberry Root,"Berberis Vulgaris Root Extract, Barberry Root","Berberis Vulgaris Root Extract, Barberry Root","berberis vulgaris root extract, barberry root"
83,Ocimum Basilicum Oil,Basil Essential Oil,"Ocimum Basilicum Oil, Basil Essential Oil","Ocimum Basilicum Oil, Basil Essential Oil","ocimum basilicum oil, basil essential oil"
84,Pimenta Racemosa Leaf/Fruit Oil,"Bay Rum Oil, Bay Rum Essential Oil","Pimenta Racemosa Leaf/Fruit Oil, Bay Rum Oil, Bay Rum Essential Oil","Pimenta Racemosa Leaf/Fruit Oil, Bay Rum Oil, Bay Rum Essential Oil","pimenta racemosa leaf/fruit oil, bay rum oil, bay rum essential oil"
85,Fragaria Chiloensis Fruit Extract,"Beach Strawberry Extract, Chilean Strawberry Extract,Coastal Strawberry Extract","Fragaria Chiloensis Fruit Extract, Beach Strawberry Extract, Chilean Strawberry Extract,Coastal Strawberry Extract","Fragaria Chiloensis Fruit Extract, Beach Strawberry Extract, Chilean Strawberry Extract,Coastal Strawberry Extract","fragaria chiloensis fruit extract, beach strawberry extract, chilean strawberry extract,coastal strawberry extract"
86,Arctostaphylos Uva Ursi Leaf Extract,Bearberry,"Arctostaphylos Uva Ursi Leaf Extract, Bearberry","Arctostaphylos Uva Ursi Leaf Extract, Bearberry","arctostaphylos uva ursi leaf extract, bearberry"
87,Pollen,Bee Pollen,"Pollen, Bee Pollen","Pollen, Bee Pollen","pollen, bee pollen"
88,Cera Alba,Beeswax,"Cera Alba, Beeswax","Cera Alba, Beeswax","cera alba, beeswax"
89,Beta Vulgaris Root Powder,Beet Powder,"Beta Vulgaris Root Powder, Beet Powder","Beta Vulgaris Root Powder, Beet Powder","beta vulgaris root powder, beet powder"
90,Beta Vulgaris Root Extract,Beet Root Extract,"Beta Vulgaris Root Extract, Beet Root Extract","Beta Vulgaris Root Extract, Beet Root Extract","beta vulgaris root extract, beet root extract"
91,Tribehenin,Behenyl Triglyceride,"Tribehenin, Behenyl Triglyceride","Tribehenin, Behenyl Triglyceride","tribehenin, behenyl triglyceride"
92,Benzaldehyde,Benzaldehyde Fcc,"Benzaldehyde, Benzaldehyde Fcc","Benzaldehyde, Benzaldehyde Fcc","benzaldehyde, benzaldehyde fcc"
93,Styrax Benzoin Resin Extract,Benzoin,"Styrax Benzoin Resin Extract, Benzoin","Styrax Benzoin Resin Extract, Benzoin","styrax benzoin resin extract, benzoin"
94,Styrax Benzoin Gum,"Benzoin Gum, Benzoin Powder,Gum Benzoin","Styrax Benzoin Gum, Benzoin Gum, Benzoin Powder,Gum Benzoin","Styrax Benzoin Gum, Benzoin Gum, Benzoin Powder,Gum Benzoin","styrax benzoin gum, benzoin gum, benzoin powder,gum benzoin"
95,Benzyl Benzoate,Benzyl Benzoate Usp,"Benzyl Benzoate, Benzyl Benzoate Usp","Benzyl Benzoate, Benzyl Benzoate Usp","benzyl benzoate, benzyl benzoate usp"
96,Citrus Aurantium Bergamia Peel Oil,Bergamot Essential Peel Oil,"Citrus Aurantium Bergamia Peel Oil, Bergamot Essential Peel Oil","Citrus Aurantium Bergamia Peel Oil, Bergamot Essential Peel Oil","citrus aurantium bergamia peel oil, bergamot essential peel oil"
97,Citrus Aurantium Bergamia Fruit Oil,"Bergamot Fruit Oil, Bergamot Essential Oil","Citrus Aurantium Bergamia Fruit Oil, Bergamot Fruit Oil, Bergamot Essential Oil","Citrus Aurantium Bergamia Fruit Oil, Bergamot Fruit Oil, Bergamot Essential Oil","citrus aurantium bergamia fruit oil, bergamot fruit oil, bergamot essential oil"
98,Zea Mays Oil,"Beta Carotene, Corn Oil","Zea Mays Oil, Beta Carotene, Corn Oil","Zea Mays Oil, Beta Carotene, Corn Oil","zea mays oil, beta carotene, corn oil"
99,Butylene Glycol,Bg,"Butylene Glycol, Bg","Butylene Glycol, Bg","butylene glycol, bg"
100,Betula Alba Bark Extract,"Birch Bark Extract, White Birch Extract","Betula Alba Bark Extract, Birch Bark Extract, White Birch Extract","Betula Alba Bark Extract, Birch Bark Extract, White Birch Extract","betula alba bark extract, birch bark extract, white birch extract"
101,Betula Alba Bark Water,Birch Bark Water,"Betula Alba Bark Water, Birch Bark Water","Betula Alba Bark Water, Birch Bark Water","betula alba bark water, birch bark water"
102,Betula Alba Bud Extract,Birch Bud Extract,"Betula Alba Bud Extract, Birch Bud Extract","Betula Alba Bud Extract, Birch Bud Extract","betula alba bud extract, birch bud extract"
103,Betula Alba Juice,Birch Juice,"Betula Alba Juice, Birch Juice","Betula Alba Juice, Birch Juice","betula alba juice, birch juice"
104,Betula Alba Leaf Extract,Birch Leaf Extract,"Betula Alba Leaf Extract, Birch Leaf Extract","Betula Alba Leaf Extract, Birch Leaf Extract","betula alba leaf extract, birch leaf extract"
105,Betula Alba Oil,Birch Oil,"Betula Alba Oil, Birch Oil","Betula Alba Oil, Birch Oil","betula alba oil, birch oil"
106,Betula Alba Twig Extract,Birch Twig Extract,"Betula Alba Twig Extract, Birch Twig Extract","Betula Alba Twig Extract, Birch Twig Extract","betula alba twig extract, birch twig extract"
107,Betula Alba Twig Oil,Birch Twig Oil,"Betula Alba Twig Oil, Birch Twig Oil","Betula Alba Twig Oil, Birch Twig Oil","betula alba twig oil, birch twig oil"
108,Citrus Aurantium Amara Flower Oil,Bitter Orange Flower Oil / Neroli Oil,"Citrus Aurantium Amara Flower Oil, Bitter Orange Flower Oil / Neroli Oil","Citrus Aurantium Amara Flower Oil, Bitter Orange Flower Oil / Neroli Oil","citrus aurantium amara flower oil, bitter orange flower oil / neroli oil"
109,Prunus Serotina Fruit Extract,Black Cherry Extract,"Prunus Serotina Fruit Extract, Black Cherry Extract","Prunus Serotina Fruit Extract, Black Cherry Extract","prunus serotina fruit extract, black cherry extract"
110,Cimicifuga Racemosa Root Extract,"Black Cohosh, Actaea Racemosa","Cimicifuga Racemosa Root Extract, Black Cohosh, Actaea Racemosa","Cimicifuga Racemosa Root Extract, Black Cohosh, Actaea Racemosa","cimicifuga racemosa root extract, black cohosh, actaea racemosa"
111,Ribes Nigrum Seed Extract,Black Currant Extract,"Ribes Nigrum Seed Extract, Black Currant Extract","Ribes Nigrum Seed Extract, Black Currant Extract","ribes nigrum seed extract, black currant extract"
112,Ribes Nigrum Seed Oil,Black Currant Seed Oil,"Ribes Nigrum Seed Oil, Black Currant Seed Oil","Ribes Nigrum Seed Oil, Black Currant Seed Oil","ribes nigrum seed oil, black currant seed oil"
113,Sambucus Nigra Fruit Extract,Black Elderberry,"Sambucus Nigra Fruit Extract, Black Elderberry","Sambucus Nigra Fruit Extract, Black Elderberry","sambucus nigra fruit extract, black elderberry"
114,Panax Ginseng Root Extract,"Black Ginseng Extract, Korean Ginseng,Korean Red Ginseng","Panax Ginseng Root Extract, Black Ginseng Extract, Korean Ginseng,Korean Red Ginseng","Panax Ginseng Root Extract, Black Ginseng Extract, Korean Ginseng,Korean Red Ginseng","panax ginseng root extract, black ginseng extract, korean ginseng,korean red ginseng"
115,Morus Nigra Fruit Extract,Black Mulberry,"Morus Nigra Fruit Extract, Black Mulberry","Morus Nigra Fruit Extract, Black Mulberry","morus nigra fruit extract, black mulberry"
116,Morus Nigra Root Extract,Black Mulberry Root,"Morus Nigra Root Extract, Black Mulberry Root","Morus Nigra Root Extract, Black Mulberry Root","morus nigra root extract, black mulberry root"
117,Ci 77499,Black Oxide,"Ci 77499, Black Oxide",Ci 77499. Black Oxide,ci 77499. black oxide
