,generic_name,synonym
3248,C11-13 Pareth-10,c11-13 pareth-10
3249,C11-13 Pareth-6,c11-13 pareth-6
3249,C11-13 Pareth-9,c11-13 pareth-9
3250,C11-14 Alkane/Cycloalkane,c11-14 alkane/cycloalkane
3251,C11-14 Isoparaffin,c11-14 isoparaffin
3252,C11-15 Alkane/Cycloalkane,c11-15 alkane/cycloalkane
3253,C11-15 Pareth-12,c11-15 pareth-12
3254,C11-15 Pareth-12 Stearate,c11-15 pareth-12 stearate
3255,C11-15 Pareth-15,c11-15 pareth-15
3256,C11-15 Pareth-20,c11-15 pareth-20
3257,C11-15 Pareth-3,c11-15 pareth-3
3257,C11-15 Pareth-3 Oleate,c11-15 pareth-3 oleate
3258,C11-15 Pareth-3 Stearate,c11-15 pareth-3 stearate
3259,C11-15 Pareth-30,c11-15 pareth-30
3260,C11-15 Pareth-40,c11-15 pareth-40
3261,C11-15 Pareth-5,c11-15 pareth-5
3261,C11-15 Pareth-7,c11-15 pareth-7
3262,C11-15 Pareth-7 Carboxylic Acid,c11-15 pareth-7 carboxylic acid
3263,C11-15 Pareth-9,c11-15 pareth-9
3264,C11-15 Sec-Pareth-12,c11-15 sec-pareth-12
3265,C11-15-Isoalkanes,c11-15-isoalkanes
3266,C11-21 Pareth-10,c11-21 pareth-10
3267,C11-21 Pareth-3,c11-21 pareth-3
3268,C1-18 Alkyl Acrylate,c1-18 alkyl acrylate
3269,C1-2 Alkyl Succinate,c1-2 alkyl succinate
3270,C12-13 Alcohols,c12-13 alcohols
3271,C12-13 Alkane/Cycloalkane,c12-13 alkane/cycloalkane
3272,C12-13 Alkyl Ethylhexanoate,c12-13 alkyl ethylhexanoate
3273,C12-13 Alkyl Glyceryl Hydrolyzed Hyaluronate,c12-13 alkyl glyceryl hydrolyzed hyaluronate
3274,C12-13 Alkyl Lactate,c12-13 alkyl lactate
3275,C12-13 Alkyl Methacrylate,c12-13 alkyl methacrylate
3276,C12-13 Pareth-1,c12-13 pareth-1
3277,C12-13 Pareth-10,c12-13 pareth-10
3278,C12-13 Pareth-10 Phosphate,c12-13 pareth-10 phosphate
3279,C12-13 Pareth-12 Carboxylic Acid,c12-13 pareth-12 carboxylic acid
3280,C12-13 Pareth-15,c12-13 pareth-15
3281,C12-13 Pareth-2,c12-13 pareth-2
3282,C12-13 Pareth-2 Phosphate,c12-13 pareth-2 phosphate
3283,C12-13 Pareth-23,c12-13 pareth-23
3284,C12-13 Pareth-3,c12-13 pareth-3
3284,C12-13 Pareth-4,c12-13 pareth-4
3285,C12-13 Pareth-5,c12-13 pareth-5
3285,C12-13 Pareth-5 Carboxylic Acid,c12-13 pareth-5 carboxylic acid
3286,C12-13 Pareth-6,c12-13 pareth-6
3287,C12-13 Pareth-7,c12-13 pareth-7
3288,C12-13 Pareth-7 Carboxylic Acid,c12-13 pareth-7 carboxylic acid
3289,C12-13 Pareth-8 Carboxylic Acid,c12-13 pareth-8 carboxylic acid
3290,C12-13 Pareth-9,c12-13 pareth-9
3291,C12-14 Alkyl Diaminoethylglycine Hcl,c12-14 alkyl diaminoethylglycine hcl
3292,C12-14 Hydroxyalkyl Hydroxydimerdilinoleyl Ether,c12-14 hydroxyalkyl hydroxydimerdilinoleyl ether
3293,C12-14 Hydroxyalkyl Hydroxyethyl Beta-Alanine,c12-14 hydroxyalkyl hydroxyethyl beta-alanine
3294,C12-14 Hydroxyalkyl Hydroxyethyl Sarcosine,c12-14 hydroxyalkyl hydroxyethyl sarcosine
3295,C12-14 Hydroxyalkyl Maltitol Ether,c12-14 hydroxyalkyl maltitol ether
3295,C12-14 Isoparaffin,c12-14 isoparaffin
3296,C12-14 Pareth-11,c12-14 pareth-11
3297,C12-14 Pareth-12,c12-14 pareth-12
3298,C12-14 Pareth-3,c12-14 pareth-3
3299,C12-14 Pareth-5,c12-14 pareth-5
3300,C12-14 Pareth-7,c12-14 pareth-7
3301,C12-14 Pareth-9,c12-14 pareth-9
3302,C12-14 Sec-Pareth-12,c12-14 sec-pareth-12
3303,C12-14 Sec-Pareth-15,c12-14 sec-pareth-15
3304,C12-14 Sec-Pareth-20,c12-14 sec-pareth-20
3305,C12-14 Sec-Pareth-3,c12-14 sec-pareth-3
3306,C12-14 Sec-Pareth-30,c12-14 sec-pareth-30
3307,C12-14 Sec-Pareth-40,c12-14 sec-pareth-40
3308,C12-14 Sec-Pareth-5,c12-14 sec-pareth-5
3309,C12-14 Sec-Pareth-50,c12-14 sec-pareth-50
3310,C12-14 Sec-Pareth-7,c12-14 sec-pareth-7
3310,C12-14 Sec-Pareth-8,c12-14 sec-pareth-8
3310,C12-14 Sec-Pareth-9,c12-14 sec-pareth-9
3311,C12-15 Alcohols,c12-15 alcohols
3312,C12-15 Alkane/Cycloalkane/Aromatic Hydrocarbons,c12-15 alkane/cycloalkane/aromatic hydrocarbons
3313,C12-15 Alkyl Benzoate,c12-15 alkyl benzoate
3314,C12-15 Alkyl Ethylhexanoate,c12-15 alkyl ethylhexanoate
3315,C12-15 Alkyl Lactate,c12-15 alkyl lactate
3316,C12-15 Alkyl Salicylate,c12-15 alkyl salicylate
3317,C12-15 Isoparaffin,c12-15 isoparaffin
3318,C12-15 Pareth-10,c12-15 pareth-10
3319,C12-15 Pareth-10 Phosphate,c12-15 pareth-10 phosphate
3320,C12-15 Pareth-11,c12-15 pareth-11
3321,C12-15 Pareth-12,c12-15 pareth-12
3322,C12-15 Pareth-12 Carboxylic Acid,c12-15 pareth-12 carboxylic acid
3323,C12-15 Pareth-12 Oleate,c12-15 pareth-12 oleate
3324,C12-15 Pareth-2,c12-15 pareth-2
3325,C12-15 Pareth-2 Phosphate,c12-15 pareth-2 phosphate
3326,C12-15 Pareth-3,c12-15 pareth-3
3327,C12-15 Pareth-3 Benzoate,c12-15 pareth-3 benzoate
3328,C12-15 Pareth-3 Phosphate,c12-15 pareth-3 phosphate
3329,C12-15 Pareth-4,c12-15 pareth-4
3330,C12-15 Pareth-5,c12-15 pareth-5
3331,C12-15 Pareth-6 Phosphate,c12-15 pareth-6 phosphate
3332,C12-15 Pareth-7,c12-15 pareth-7
3333,C12-15 Pareth-7 Carboxylic Acid,c12-15 pareth-7 carboxylic acid
3334,C12-15 Pareth-8 Carboxylic Acid,c12-15 pareth-8 carboxylic acid
3335,C12-15 Pareth-8 Phosphate,c12-15 pareth-8 phosphate
3336,C12-15 Pareth-9,c12-15 pareth-9
3337,C12-15 Pareth-9 Hydrogenated Tallowate,c12-15 pareth-9 hydrogenated tallowate
3338,C12-15 Pareth-9 Phosphate,c12-15 pareth-9 phosphate
3339,C12-16 Alcohols,c12-16 alcohols
3340,C12-16 Alkoxy Hydroxypropyl Ethyl Hydroxyethylcellulose,c12-16 alkoxy hydroxypropyl ethyl hydroxyethylcellulose
3341,C12-16 Alkyl Peg-2 Hydroxypropyl Hydroxyethyl Ethylcellulose,c12-16 alkyl peg-2 hydroxypropyl hydroxyethyl ethylcellulose
3342,C12-16 Pareth-5,c12-16 pareth-5
3342,C12-16 Pareth-6 Phosphate,c12-16 pareth-6 phosphate
3342,C12-16 Pareth-7,c12-16 pareth-7
3342,C12-16 Pareth-9,c12-16 pareth-9
3343,C12-17 Alkane,c12-17 alkane
3344,C12-17 Alkyl Ketene Dimer,c12-17 alkyl ketene dimer
3345,C12-18 Acid Triglyceride,c12-18 acid triglyceride
3346,C12-18 Alkyl Glucoside,c12-18 alkyl glucoside
3347,C12-18 Fatty Acids Methyl Esters,c12-18 fatty acids methyl esters
3347,C12-20 Acid Peg-8 Ester,c12-20 acid peg-8 ester
3348,C12-20 Alkyl Glucoside,c12-20 alkyl glucoside
3349,C12-20 Isoparaffin,c12-20 isoparaffin
3350,C12-22 Alkyl Acrylate/Hydroxyethylacrylate Copolymer,c12-22 alkyl acrylate/hydroxyethylacrylate copolymer
3351,C12-22 Alkyl Methacrylate,c12-22 alkyl methacrylate
3352,C13-14 Alkane,c13-14 alkane
3353,C13-14 Isoparaffin,c13-14 isoparaffin
3354,C13-15 Alkane,c13-15 alkane
3355,C13-15 Pareth-21,c13-15 pareth-21
3356,C13-16 Isoparaffin,c13-16 isoparaffin
3357,C14 Ketones,c14 ketones
3358,C14-15 Alcohols,c14-15 alcohols
3359,C14-15 Dialkyl Carbonate,c14-15 dialkyl carbonate
3360,C14-15 Pareth-11,c14-15 pareth-11
3361,C14-15 Pareth-12,c14-15 pareth-12
3362,C14-15 Pareth-13,c14-15 pareth-13
3363,C14-15 Pareth-4,c14-15 pareth-4
3364,C14-15 Pareth-7,c14-15 pareth-7
3365,C14-15 Pareth-8,c14-15 pareth-8
3366,C14-15 Pareth-8 Carboxylic Acid,c14-15 pareth-8 carboxylic acid
3367,C14-16 Glycol Palmitate,c14-16 glycol palmitate
3368,C14-16 Isoparaffin,c14-16 isoparaffin
3369,C14-17 Alkane,c14-17 alkane
3370,C14-18 Acid Glycol Ester,c14-18 acid glycol ester
3370,C14-18 Alkyl Ethylhexanoate,c14-18 alkyl ethylhexanoate
3371,C14-18 Glycol,c14-18 glycol
3372,C14-19 Alkane,c14-19 alkane
3373,C14-20 Alkane,c14-20 alkane
3374,C14-20 Isoalkylamidopropylethyldimonium Ethosulfate,c14-20 isoalkylamidopropylethyldimonium ethosulfate
3375,C14-22 Alcohols,c14-22 alcohols
3376,C14-22 Alkane,c14-22 alkane
3377,C14-28 Alkyl Acid,c14-28 alkyl acid
3377,C14-28 Isoalkyl Acid,c14-28 isoalkyl acid
3378,C14-30 Alkyl Beeswax,c14-30 alkyl beeswax
3379,C1-5 Alkyl Galactomannan,c1-5 alkyl galactomannan
3380,C15-18 Glycol,c15-18 glycol
3381,C15-19 Alkane,c15-19 alkane
3382,C15-19 Isoparaffin,c15-19 isoparaffin
3383,C15-23 Alkane,c15-23 alkane
3384,C15-35 Isoparaffin/Isoalkylcycloalkanes,c15-35 isoparaffin/isoalkylcycloalkanes
3385,C16-17 Alkyl Benzoate,c16-17 alkyl benzoate
3386,C16-17 Isoalcohols,c16-17 isoalcohols
3387,C16-18 Hydroxyalkyl Hydroxydimerdilinoleyl Ether,c16-18 hydroxyalkyl hydroxydimerdilinoleyl ether
3388,C16-22 Acid Amide Mea,c16-22 acid amide mea
3389,C16-23 Alkane,c16-23 alkane
3390,C16-24 Alkyl C16-24 Acidate,c16-24 alkyl c16-24 acidate
3391,C16-26 Hydroxyalkanoyl Sphingadienes,c16-26 hydroxyalkanoyl sphingadienes
3392,C16-36 Alkyl Stearate,c16-36 alkyl stearate
3393,C17-26 Isoalkane,c17-26 isoalkane
3394,C1-8 Alkyl Acrylamide,c1-8 alkyl acrylamide
3395,C1-8 Alkyl Acrylate,c1-8 alkyl acrylate
3396,C1-8 Alkyl Tetrahydroxycyclohexanoate,c1-8 alkyl tetrahydroxycyclohexanoate
3397,C18-20 Glycol Isostearate,c18-20 glycol isostearate
3397,C18-21 Alkane,c18-21 alkane
3398,C18-22 Alkyl Peg-25 Methacrylate,c18-22 alkyl peg-25 methacrylate
3399,C18-22 Alkyl Peg-25 Methacrylate/Diethylaminoethyl Methacrylate Copolymer,c18-22 alkyl peg-25 methacrylate/diethylaminoethyl methacrylate copolymer
3400,C18-22 Hydroxyalkyl Hydroxypropyl Guar,c18-22 hydroxyalkyl hydroxypropyl guar
3401,C18-22 Isoalkylamidopropylethyldimonium Ethosulfate,c18-22 isoalkylamidopropylethyldimonium ethosulfate
3402,C18-24 Isoparaffin,c18-24 isoparaffin
3403,C18-26 Olefin,c18-26 olefin
3404,C18-28 Alkyl Acetate,c18-28 alkyl acetate
3405,C18-29 Alkane,c18-29 alkane
3406,C18-30 Acid Glycol Ester,c18-30 acid glycol ester
3407,C18-30 Glycol,c18-30 glycol
3408,C18-36 Acid,c18-36 acid
3409,C18-36 Acid Glycol Ester,c18-36 acid glycol ester
3410,C18-36 Acid Triglyceride,c18-36 acid triglyceride
3411,C18-38 Alkyl Beeswax,c18-38 alkyl beeswax
3412,C18-38 Alkyl C24-54 Acid Ester,c18-38 alkyl c24-54 acid ester
3412,C18-38 Alkyl Hydroxystearoyl Stearate,c18-38 alkyl hydroxystearoyl stearate
3413,C18-50 Isoparaffin,c18-50 isoparaffin
3414,C18-70 Isoparaffin,c18-70 isoparaffin
3415,C20-22 Alcohols,c20-22 alcohols
3416,C20-22 Alkyl Glucoside,c20-22 alkyl glucoside
3417,C20-22 Alkyl Phosphate,c20-22 alkyl phosphate
3418,C20-22 Pareth-30,c20-22 pareth-30
3419,C20-24 Alkyl Dimethicone,c20-24 alkyl dimethicone
3420,C20-24 Alkyl Methicone,c20-24 alkyl methicone
3421,C20-24 Olefin,c20-24 olefin
3421,C20-24 Olefin/Oleyl Alcohol Copolymer,c20-24 olefin/oleyl alcohol copolymer
3421,C20-28 Alkyl Perfluorodecylethoxy Dimethicone,c20-28 alkyl perfluorodecylethoxy dimethicone
3422,C20-30 Glycol,c20-30 glycol
3423,C20-30 Glycol Isostearate,c20-30 glycol isostearate
3424,C20-40 Acid,c20-40 acid
3425,C20-40 Alcohols,c20-40 alcohols
3426,C20-40 Alkyl Behenate,c20-40 alkyl behenate
3427,C20-40 Alkyl Crylene,c20-40 alkyl crylene
3427,C20-40 Alkyl Stearate,c20-40 alkyl stearate
3427,C20-40 Isoparaffin,c20-40 isoparaffin
3427,C20-40 Pareth-10,c20-40 pareth-10
3428,C20-40 Pareth-24,c20-40 pareth-24
3429,C20-40 Pareth-3,c20-40 pareth-3
3430,C20-40 Pareth-40,c20-40 pareth-40
3431,C20-40 Pareth-95,c20-40 pareth-95
3432,C21-28 Alkane,c21-28 alkane
3433,C22-24 Pareth-33,c22-24 pareth-33
3434,C22-28 Alkane,c22-28 alkane
3435,C23-43 Acid Pentaerythritol Tetraester,c23-43 acid pentaerythritol tetraester
3436,C24-28 Alkyl Dimethicone,c24-28 alkyl dimethicone
3437,C24-28 Alkyl Methicone,c24-28 alkyl methicone
3438,C24-28 Alkyldimethylsiloxy Trimethylsiloxysilicate,c24-28 alkyldimethylsiloxy trimethylsiloxysilicate
3439,C24-28 Olefin,c24-28 olefin
3440,C24-30 Olefin,c24-30 olefin
3441,C26-28 Alkyl Dimethicone,c26-28 alkyl dimethicone
3442,C26-28 Alkyl Methicone,c26-28 alkyl methicone
3443,C26-28 Alkyldimethylsilyl Polypropylsilsesquioxane,c26-28 alkyldimethylsilyl polypropylsilsesquioxane
3444,C26-28 Olefin,c26-28 olefin
3445,C26-54 Alkyl Tetradecyl Dimethicone,c26-54 alkyl tetradecyl dimethicone
3446,C26-54 Olefin,c26-54 olefin
3447,C28-36 Olefin,c28-36 olefin
3448,C28-52 Olefin,c28-52 olefin
3449,C28-52 Olefin/Undecylenic Acid Copolymer,c28-52 olefin/undecylenic acid copolymer
3450,C29-70 Acid,c29-70 acid
3451,C30-38 Olefin,c30-38 olefin
3452,C30-38 Olefin/Isopropyl Maleate/Ma Copolymer,c30-38 olefin/isopropyl maleate/ma copolymer
3453,C30-45 Alkyl Cetearyl Dimethicone Crosspolymer,c30-45 alkyl cetearyl dimethicone crosspolymer
3454,C30-45 Alkyl Dimethicone,c30-45 alkyl dimethicone
3455,C30-45 Alkyl Dimethicone/Polycyclohexene Oxide Crosspolymer,c30-45 alkyl dimethicone/polycyclohexene oxide crosspolymer
3456,C30-45 Alkyl Methicone,c30-45 alkyl methicone
3457,C30-45 Alkyldimethylsilyl Polypropylsilsesquioxane,c30-45 alkyldimethylsilyl polypropylsilsesquioxane
3458,C30-45 Olefin,c30-45 olefin
3459,C30-50 Acid,c30-50 acid
3460,C30-50 Alcohols,c30-50 alcohols
3461,C30-50 Alkyl Beeswax,c30-50 alkyl beeswax
3462,C30-50 Alkyl Stearate,c30-50 alkyl stearate
3463,C30-50 Alkyl/Octyldodecyl Citrate,c30-50 alkyl/octyldodecyl citrate
3464,C30-50 Pareth-10,c30-50 pareth-10
3465,C30-50 Pareth-3,c30-50 pareth-3
3466,C30-50 Pareth-40,c30-50 pareth-40
3467,C30-60 Alkyl Dimethicone,c30-60 alkyl dimethicone
3468,C3-11 Alkyl Acrylate,c3-11 alkyl acrylate
3468,C32 Alkyl Dimethicone,c32 alkyl dimethicone
3468,C32-36 Isoalkyl Acid,c32-36 isoalkyl acid
3469,C32-36 Isoalkyl Stearate,c32-36 isoalkyl stearate
3470,C32-54 Isoalkane,c32-54 isoalkane
3471,C40-60 Acid,c40-60 acid
3472,C40-60 Alcohols,c40-60 alcohols
3473,C40-60 Alkyl Stearate,c40-60 alkyl stearate
3474,C40-60 Alkyl/Octyldodecyl Citrate,c40-60 alkyl/octyldodecyl citrate
3475,C40-60 Pareth-10,c40-60 pareth-10
3476,C40-60 Pareth-3,c40-60 pareth-3
3477,C4-12 Olefin,c4-12 olefin
3478,C4-14 Perfluoroalkylethoxy Dimethicone,c4-14 perfluoroalkylethoxy dimethicone
3479,C4-18 Alkyl Methacrylate/Methacryloyloxyethyl Phosphorylcholine Copolymer,c4-18 alkyl methacrylate/methacryloyloxyethyl phosphorylcholine copolymer
3480,C4-18 Perfluoroalkylethyl Thiohydroxypropyltrimonium Chloride,c4-18 perfluoroalkylethyl thiohydroxypropyltrimonium chloride
3481,C4-24 Alkyl Dimethicone/Divinyldimethicone Crosspolymer,c4-24 alkyl dimethicone/divinyldimethicone crosspolymer
3482,C4-5 Cyanoacetate/Di-C4-5 Malonate Anthracenediylidene/Fluorenylidene/Thioxantheneylidene,c4-5 cyanoacetate/di-c4-5 malonate anthracenediylidene/fluorenylidene/thioxantheneylidene
3483,C4-5 Isoalkyl Cocoate,c4-5 isoalkyl cocoate
3484,C4-6 Olefin,c4-6 olefin
3485,C4-6 Olefin/Styrene Copolymer,c4-6 olefin/styrene copolymer
3486,C4-8 Alkyl Acrylate,c4-8 alkyl acrylate
3487,C4-8 Alkyl Acrylate/Hema Copolymer,c4-8 alkyl acrylate/hema copolymer
3488,C5-6 Alkane,c5-6 alkane
3489,C5-6 Alkane/Cycloalkane/Terpene Copolymer,c5-6 alkane/cycloalkane/terpene copolymer
3490,C5-6 Olefin,c5-6 olefin
3491,C5-6 Olefin/C8-10 Naphtha Olefin Copolymer,c5-6 olefin/c8-10 naphtha olefin copolymer
3492,C5-6 Olefin/Styrene Copolymer,c5-6 olefin/styrene copolymer
3493,C5-8 Alkyl Acrylate,c5-8 alkyl acrylate
3494,C6-10 Pareth-4 Phosphate,c6-10 pareth-4 phosphate
3495,C6-12 Alkyl C14-18 Alkyl Aminopropyl Acetaminopropyl Dimethicone,c6-12 alkyl c14-18 alkyl aminopropyl acetaminopropyl dimethicone
3496,C6-12 Perfluoroalkylethanol,c6-12 perfluoroalkylethanol
3497,C6-14 Perfluoroalkylethyl Acrylate,c6-14 perfluoroalkylethyl acrylate
3498,C6-14 Perfluoroalkylethyl Acrylate/Hema Copolymer,c6-14 perfluoroalkylethyl acrylate/hema copolymer
3498,C6-8 Alkyl C3-6 Alkyl Glucoside Dimethicone,c6-8 alkyl c3-6 alkyl glucoside dimethicone
3499,C7-8 Isoparaffin,c7-8 isoparaffin
3500,C8-10 Alkane/Cycloalkane/Aromatic Hydrocarbons,c8-10 alkane/cycloalkane/aromatic hydrocarbons
3501,C8-10 Alkyl Ethyl Phosphate,c8-10 alkyl ethyl phosphate
3502,C8-12 Acid Triglyceride,c8-12 acid triglyceride
3503,C8-12 Alkyl Glucosidyl Hydroxycyclohexylethyl Peg-18/Ppg-6 Dimethicone,c8-12 alkyl glucosidyl hydroxycyclohexylethyl peg-18/ppg-6 dimethicone
3504,C8-18 Fluoroalcohol Phosphate,c8-18 fluoroalcohol phosphate
3505,C8-22 Alkyl Acrylate,c8-22 alkyl acrylate
3506,C8-22 Alkyl Acrylate/Butyl Dimethicone Methacrylate Copolymer,c8-22 alkyl acrylate/butyl dimethicone methacrylate copolymer
3507,C8-22 Alkyl Acrylates/Methacrylic Acid Crosspolymer,c8-22 alkyl acrylates/methacrylic acid crosspolymer
3508,C8-9 Alkane/Cycloalkane,c8-9 alkane/cycloalkane
3509,C8-9 Isoparaffin,c8-9 isoparaffin
3510,C9-10 Alkane/Cycloalkane,c9-10 alkane/cycloalkane
3511,C9-10 Aromatic Hydrocarbons,c9-10 aromatic hydrocarbons
3512,C9-11 Alcohols,c9-11 alcohols
3513,C9-11 Alkane/Cycloalkane,c9-11 alkane/cycloalkane
3514,C9-11 Alkyl Glucoside,c9-11 alkyl glucoside
3515,C9-11 Isoparaffin,c9-11 isoparaffin
3516,C9-11 Pareth-2,c9-11 pareth-2
3516,C9-11 Pareth-3,c9-11 pareth-3
3517,C9-11 Pareth-4,c9-11 pareth-4
3518,C9-11 Pareth-40,c9-11 pareth-40
3519,C9-11 Pareth-6,c9-11 pareth-6
3520,C9-11 Pareth-6 Carboxylic Acid,c9-11 pareth-6 carboxylic acid
3521,C9-11 Pareth-8,c9-11 pareth-8
3522,C9-11 Pareth-8 Carboxylic Acid,c9-11 pareth-8 carboxylic acid
3522,C9-12 Alkane,c9-12 alkane
3523,C9-12 Isoparaffin,c9-12 isoparaffin
3524,C9-12-Isoalkanes,c9-12-isoalkanes
3525,C9-13 Fluoroalcohol,c9-13 fluoroalcohol
3526,C9-13 Isoparaffin,c9-13 isoparaffin
3527,C9-14 Isoparaffin,c9-14 isoparaffin
3528,C9-15 Alkyl Phosphate,c9-15 alkyl phosphate
3529,C9-15 Fluoroalcohol Phosphate,c9-15 fluoroalcohol phosphate
3530,C9-15 Pareth-8,c9-15 pareth-8
3531,C9-16 Alkane/Cycloalkane,c9-16 alkane/cycloalkane
3532,C9-16 Isoparaffin,c9-16 isoparaffin
3533,Cadinene,cadinene
3533,Caesalpinia Benthamiana Root Extract,caesalpinia benthamiana root extract
3534,Caesalpinia Decapetala Leaf Extract,caesalpinia decapetala leaf extract
3535,Caesalpinia Echinata Wood Extract,caesalpinia echinata wood extract
3536,Caesalpinia Pulcherrima Flower Extract,caesalpinia pulcherrima flower extract
3537,Caesalpinia Sappan Bark Extract,caesalpinia sappan bark extract
3538,Caesalpinia Sappan Extract,caesalpinia sappan extract
3539,Caesalpinia Sappan Stem Extract,caesalpinia sappan stem extract
3540,Caesalpinia Spinosa Fruit Extract,caesalpinia spinosa fruit extract
3541,Caesalpinia Spinosa Fruit Pod Extract,caesalpinia spinosa fruit pod extract
3542,Caesalpinia Spinosa Gum,caesalpinia spinosa gum
3543,Caesalpinia Spinosa Hydroxypropyltrimonium Chloride,caesalpinia spinosa hydroxypropyltrimonium chloride
3544,Caffeic Acid,caffeic acid
3545,Caffeic Acid,"3,4-dihydroxy-cinnamic acid"
3546,Caffeic/Coco/Coumaric/Mangosteen Pericarp Esters,caffeic/coco/coumaric/mangosteen pericarp esters
3547,Caffeine,caffeine
3548,Caffeine Benzoate,caffeine benzoate
3549,Caffeine Carboxylic Acid,caffeine carboxylic acid
3550,Caffeine Carboxyloyl Sh-Decapeptide-1,caffeine carboxyloyl sh-decapeptide-1
3551,Caffeine Carboxyloyl Tripeptide-37,caffeine carboxyloyl tripeptide-37
3552,Caffeine Salicylate,caffeine salicylate
3553,Caffeoyl Dipeptide-25 Amide,caffeoyl dipeptide-25 amide
3554,Caffeoyl Dipeptide-30,caffeoyl dipeptide-30
3555,Caffeoyl Heptapeptide-11,caffeoyl heptapeptide-11
3556,Caffeoyl Hexapeptide-43,caffeoyl hexapeptide-43
3557,Caffeoyl Hexapeptide-48,caffeoyl hexapeptide-48
3558,Caffeoyl Hexapeptide-50,caffeoyl hexapeptide-50
3558,Caffeoyl Hexapeptide-56,caffeoyl hexapeptide-56
3559,Caffeoyl Hexapeptide-65,caffeoyl hexapeptide-65
3560,Caffeoyl Methoxytryptamine,caffeoyl methoxytryptamine
3560,Caffeoyl Oligopeptide-77,caffeoyl oligopeptide-77
3561,Caffeoyl Pentapeptide-20,caffeoyl pentapeptide-20
3562,Caffeoyl Pentapeptide-27,caffeoyl pentapeptide-27
3563,Caffeoyl Pentapeptide-4,caffeoyl pentapeptide-4
3564,Caffeoyl Sh-Decapeptide-23,caffeoyl sh-decapeptide-23
3564,Caffeoyl Sh-Decapeptide-9,caffeoyl sh-decapeptide-9
3565,Caffeoyl Sh-Heptapeptide-13,caffeoyl sh-heptapeptide-13
3566,Caffeoyl Sh-Octapeptide-4,caffeoyl sh-octapeptide-4
3567,Caffeoyl Sh-Pentapeptide-1,caffeoyl sh-pentapeptide-1
3568,Caffeoyl Tetrapeptide-19 Caffeamide,caffeoyl tetrapeptide-19 caffeamide
3569,Caffeoyl Tripeptide-1,caffeoyl tripeptide-1
3570,Caffeoyl Tripeptide-34,caffeoyl tripeptide-34
3571,Caffeoyl Tripeptide-35,caffeoyl tripeptide-35
3572,Caffeoyl Tripeptide-7,caffeoyl tripeptide-7
3573,Caffeyl Glucoside,caffeyl glucoside
3574,Cajanus Cajan Leaf Extract,cajanus cajan leaf extract
3575,Cakile Maritima Extract,cakile maritima extract
3576,Calamine,calamine
3577,Calamintha Officinalis Flower/Leaf/Stem Extract,calamintha officinalis flower/leaf/stem extract
3578,Calanthe Discolor Extract,calanthe discolor extract
3579,Calcite,calcite
3580,Calcite Powder,calcite powder
3580,Calcium Acetate,calcium acetate
3581,Calcium Acrylate,calcium acrylate
3581,Calcium Alginate,calcium alginate
3582,Calcium Aluminum Borosilicate,calcium aluminum borosilicate
3583,Calcium Ascorbate,calcium ascorbate
3584,Calcium Ascorbate,ester-c
3585,Calcium Ascorbate,vitamin c ester
3586,Calcium Aspartate,calcium aspartate
3587,Calcium Behenate,calcium behenate
3588,Calcium Benzoate,calcium benzoate
3589,Calcium Beta-Sitosteryl Sulfate,calcium beta-sitosteryl sulfate
3590,Calcium Carbonate,calcium carbonate
3591,Calcium Carbonate/Calcium Hydroxide/Calcium Oxide/Clay/Illite/Orthoclase/Oyster Shell Powder/Quartz Powder/Vermiculite/Zeolite Extract,calcium carbonate/calcium hydroxide/calcium oxide/clay/illite/orthoclase/oyster shell powder/quartz powder/vermiculite/zeolite extract
3592,Calcium Carboxymethyl Cellulose,calcium carboxymethyl cellulose
3593,Calcium Carrageenan,calcium carrageenan
3594,Calcium Caseinate,calcium caseinate
3595,Calcium Cerium Oxide,calcium cerium oxide
3596,Calcium Cerium Phosphate,calcium cerium phosphate
3597,Calcium Chitosan,calcium chitosan
3598,Calcium Chloride,calcium chloride
3599,Calcium Citrate,calcium citrate
3600,Calcium Cyclamate,calcium cyclamate
3601,Calcium Dihydrogen Phosphate,calcium dihydrogen phosphate
3602,Calcium Disodium EDTA,calcium disodium edta
3603,Calcium Dna,calcium dna
3604,Calcium Dodecylbenzenesulfonate,calcium dodecylbenzenesulfonate
3605,Calcium Fluoride,calcium fluoride
3606,Calcium Fructoborate,calcium fructoborate
3607,Calcium Fructoheptonate,calcium fructoheptonate
3608,Calcium Glucoheptonate,calcium glucoheptonate
3609,Calcium Gluconate,calcium gluconate
3610,Calcium Glycerophosphate,calcium glycerophosphate
3611,Calcium Glycinate,calcium glycinate
3612,Calcium Hexapeptide-11,calcium hexapeptide-11
3613,Calcium Hydrolyzed Collagen,calcium hydrolyzed collagen
3614,Calcium Hydroxide,calcium hydroxide
3615,Calcium Hydroxyapatite,calcium hydroxyapatite
3616,Calcium Hydroxymethionine,calcium hydroxymethionine
3616,Calcium Hydroxymethylbutyrate,calcium hydroxymethylbutyrate
3616,Calcium Hypochlorite,calcium hypochlorite
3617,Calcium Ketogluconate,calcium ketogluconate
3618,Calcium Lactate,calcium lactate
3619,Calcium Laurate,calcium laurate
3619,Calcium Lauroyl Taurate,calcium lauroyl taurate
3619,Calcium Lignosulfonate,calcium lignosulfonate
3620,Calcium Magnesium Silicate,calcium magnesium silicate
3621,Calcium Monofluorophosphate,calcium monofluorophosphate
3622,Calcium Montanate,calcium montanate
