,name,all_possible_synonyms_tok
67,Ceramide As,ceramide as
68,Acetyl Hexapeptide-8,acetyl hexapeptide-8
68,Acetyl Hexapeptide-8,agireline
68,Acetyl Hexapeptide-8,acetyl hexpeptide-3
68,Acetyl Hexapeptide-8,and argireline
69,Betaine,betaine
70,Sulfur,sulfur
71,Panax Ginseng Root Extract,panax ginseng root extract
71,Panax Ginseng Root Extract,black ginseng extract
71,Panax Ginseng Root Extract,korean ginseng
71,Panax Ginseng Root Extract,and korean red ginseng
72,Honey,honey
72,Honey,mel
73,Zinc PCA,zinc pca
74,Caprylyl Glycol,caprylyl glycol
75,Melaleuca Alternifolia Leaf Extract,melaleuca alternifolia leaf extract
75,Melaleuca Alternifolia Leaf Extract,tea tree leaf extract
76,Centella Asiatica Flower/Leaf/Stem Extract,centella asiatica flower/leaf/stem extract
77,Palmitoyl Pentapeptide-4,palmitoyl pentapeptide-4
77,Palmitoyl Pentapeptide-4,collagen pentapeptid
77,Palmitoyl Pentapeptide-4,kttks
77,Palmitoyl Pentapeptide-4,and matrixyl
78,Tripeptide-1,tripeptide-1
79,Tetrahexyldecyl Ascorbate,tetrahexyldecyl ascorbate
80,Ceramide 2,ceramide 2
81,Melaleuca Alternifolia Leaf Oil,melaleuca alternifolia leaf oil
81,Melaleuca Alternifolia Leaf Oil,tea tree oil
81,Melaleuca Alternifolia Leaf Oil,tea tree essential oil
81,Melaleuca Alternifolia Leaf Oil,and tto
82,Centella Asiatica Leaf Water,centella asiatica leaf water
83,Titanium Dioxide,titanium dioxide
83,Titanium Dioxide,titanium dioxide
83,Titanium Dioxide,titanium
83,Titanium Dioxide,and titanium dioxide (ci 77891)
84,Sodium Hydroxide,sodium hydroxide
84,Sodium Hydroxide,lye
84,Sodium Hydroxide,caustic soda
84,Sodium Hydroxide,and naoh
85,Aloe Barbadensis Leaf Extract,aloe barbadensis leaf extract
86,Glycyrrhiza Glabra Root Extract,glycyrrhiza glabra root extract
86,Glycyrrhiza Glabra Root Extract,licorice root extract
87,Clindamycin Phosphate,clindamycin phosphate
88,Adenosine,adenosine
89,Cholesterol,cholesterol
90,Galactomyces Ferment Filtrate,galactomyces ferment filtrate
91,Bisabolol,bisabolol
91,Bisabolol,alpha-bisabolo
92,Oryza Sativa Extract,oryza sativa extract
92,Oryza Sativa Extract,rice extract and asian rice
93,Gluconolactone,gluconolactone
94,Bifida Ferment Lysate,bifida ferment lysate
95,Simmondsia Chinensis Seed Oil,simmondsia chinensis seed oil
95,Simmondsia Chinensis Seed Oil,jojoba oil and jojoba
96,Palmitoyl Tetrapeptide-7,palmitoyl tetrapeptide-7
97,Ethylhexylglycerin,ethylhexylglycerin
98,Palmitoyl Tripeptide-1,palmitoyl tripeptide-1
98,Palmitoyl Tripeptide-1,pal-ghk and palmitoyl oligopeptide
99,Sodium Ascorbyl Phosphate,sodium ascorbyl phosphate
100,Petrolatum,petrolatum
100,Petrolatum,petroleum jelly
101,Hydroquinone,hydroquinone
102,Xanthan Gum,xanthan gum
102,Xanthan Gum,xanthomonas campestris gum
103,Artemisia Vulgaris Extract,artemisia vulgaris extract
103,Artemisia Vulgaris Extract,mugwort extract
104,3-O-Ethyl Ascorbic Acid,3-o-ethyl ascorbic acid
104,3-O-Ethyl Ascorbic Acid,ethyl ascorbic acid
105,Ascorbyl Glucoside,ascorbyl glucoside
105,Ascorbyl Glucoside,aa2g
106,Bacillus/Royal Jelly/Green Tea/Soybean Ferment Filtrate,bacillus/royal jelly/green tea/soybean ferment filtrate
107,Niacin,niacin
107,Niacin,nicotinic acid
108,Phenoxyethanol,phenoxyethanol
108,Phenoxyethanol,2-phenoxyethanol
109,Resveratrol,resveratrol
110,Parfum,parfum
110,Parfum,fragrance
110,Parfum,fragrance oil
110,Parfum,and fo
111,Zinc Pyrithione,zinc pyrithione
112,Pantothenic Acid,pantothenic acid
112,Pantothenic Acid,b5 and vitamin b5
113,Polyglutamic Acid,polyglutamic acid
113,Polyglutamic Acid,natto gum
113,Polyglutamic Acid,gamma polyglutamic acid
113,Polyglutamic Acid,and sodium polyglutamate
114,Sodium Benzoate,sodium benzoate
115,Rosa Canina Fruit Oil,rosa canina fruit oil
115,Rosa Canina Fruit Oil,rosehip seed oil
115,Rosa Canina Fruit Oil,rose hip oil
115,Rosa Canina Fruit Oil,and rosehip essential oil
116,Arginine,arginine
116,Arginine,l-arginine and (2s)-2-amino-5-guanidinopentanoic acid
117,Dipotassium Glycyrrhizate,dipotassium glycyrrhizate
117,Dipotassium Glycyrrhizate,licorice extract and sweet root
118,Ceramide 4,ceramide 4
119,Hexapeptide-9,hexapeptide-9
120,Kaolin,kaolin
120,Kaolin,kaolin clay
120,Kaolin,white clay
120,Kaolin,pink clay
120,Kaolin,magnesium silicate
120,Kaolin,and china clay
121,Rice Ferment Filtrate,rice ferment filtrate
122,Linoleic Acid,linoleic acid
122,Linoleic Acid,lanolic acid and vitamin f
123,Salix Alba Bark Extract,salix alba bark extract
123,Salix Alba Bark Extract,willow bark and white willow bark extract
124,Aloe Vera Callus Extract,aloe vera callus extract
125,Disodium EDTA,disodium edta
125,Disodium EDTA,disodium and disodium edetate
126,Madecassic Acid,madecassic acid
127,Glutathione,glutathione
128,Calendula Officinalis Flower Extract,calendula officinalis flower extract
128,Calendula Officinalis Flower Extract,calendula
128,Calendula Officinalis Flower Extract,infused oil
128,Calendula Officinalis Flower Extract,and pot marigold
129,Argania Spinosa Kernel Oil,argania spinosa kernel oil
129,Argania Spinosa Kernel Oil,argan oil and argan tree kernel oil
130,Ubiquinone,ubiquinone
130,Ubiquinone,coenzyme q10
130,Ubiquinone,coq10
130,Ubiquinone,and ubiquinone-10
131,Ascorbyl Tetraisopalmitate,ascorbyl tetraisopalmitate
131,Ascorbyl Tetraisopalmitate,atip and thd ascorbate
132,Helianthus Annuus Seed Oil,helianthus annuus seed oil
132,Helianthus Annuus Seed Oil,sunflower oil and sunflower seed oil
133,Betaine Salicylate,betaine salicylate
134,Ceramide 5,ceramide 5
135,Ceramide 6 Ii,ceramide 6 ii
136,Dipeptide-2,dipeptide-2
137,Chamomilla Recutita Flower Extract,chamomilla recutita flower extract
137,Chamomilla Recutita Flower Extract,german chamomile flower oil
138,Camellia Sinensis Leaf,camellia sinensis leaf
138,Camellia Sinensis Leaf,green tea leaf
139,Magnesium Ascorbyl Phosphate,magnesium ascorbyl phosphate
140,Retinyl Palmitate,retinyl palmitate
140,Retinyl Palmitate,vitamin a palmitate
141,Asiaticoside,asiaticoside
142,Cetearyl Alcohol,cetearyl alcohol
142,Cetearyl Alcohol,(c16-c18) alkyl alcohol
142,Cetearyl Alcohol,c1618
142,Cetearyl Alcohol,c16-18 alcohols
142,Cetearyl Alcohol,cetostearyl alcohol
142,Cetearyl Alcohol,and cetyl/stearyl alcohol
143,Sodium Hyaluronate Crosspolymer,sodium hyaluronate crosspolymer
144,Centella Asiatica Meristem Cell Culture,centella asiatica meristem cell culture
145,Ceramide Eos,ceramide eos
146,Sodium PCA,sodium pca
146,Sodium PCA,sodium 5-oxo-2-pyrrolidinecarboxylate
147,Silica,silica
148,Propylene Glycol,propylene glycol
148,Propylene Glycol,methyl glycol
148,Propylene Glycol,"1,2-dihydroxypropane"
148,Propylene Glycol,trimethyl glycol
148,Propylene Glycol,"and 1,2-propanediol"
149,Retinyl Retinoate,retinyl retinoate
150,Centella Asiatica Root Extract,centella asiatica root extract
151,Hydrolyzed Collagen,hydrolyzed collagen
152,Lactobionic Acid,lactobionic acid
153,Bifida Ferment Filtrate,bifida ferment filtrate
154,Asiatic Acid,asiatic acid
155,Ethylhexyl Triazone,ethylhexyl triazone
155,Ethylhexyl Triazone,octyltriazone and uvinul t 150
156,Ascorbyl Palmitate,ascorbyl palmitate
156,Ascorbyl Palmitate,ascorbyl-6 palmitate
157,Phytosphingosine,phytosphingosine
158,Honey Extract,honey extract
159,Sodium Acetylated Hyaluronate,sodium acetylated hyaluronate
160,Sorbitol,sorbitol
161,Panax Ginseng Root Water,panax ginseng root water
161,Panax Ginseng Root Water,asian ginseng and red ginseng
162,Cannabis Sativa Seed Oil,cannabis sativa seed oil
162,Cannabis Sativa Seed Oil,hemp oil and hemp seed oil
163,Hypochlorous Acid,hypochlorous acid
164,Camellia Sinensis Leaf Water,camellia sinensis leaf water
165,Biotin/Folic Acid/Cyanocobalamin/Niacinamide/Pantothenic Acid/Pyridoxine/Riboflavin/Thiamine/Yeast Polypeptides,biotin/folic acid/cyanocobalamin/niacinamide/pantothenic acid/pyridoxine/riboflavin/thiamine/yeast polypeptides
166,Palmitoyl Hexapeptide-12,palmitoyl hexapeptide-12
167,Malic Acid,malic acid
168,Lactobacillus Ferment,lactobacillus ferment
