generic_name;synonym
Simmondsia Chinensis Seed Oil;simmondsia chinensis seed oil
Simmondsia Chinensis Seed Oil;jojoba oiljojoba
Cholesterol;cholesterol
Sodium Hydroxide;sodium hydroxide
Sodium Hydroxide;lye
Sodium Hydroxide;caustic soda
Sodium Hydroxide;naoh
Glycyrrhiza Glabra Root Extract;glycyrrhiza glabra root extract
Glycyrrhiza Glabra Root Extract;licorice root extract
Centella Asiatica Leaf Water;centella asiatica leaf water
Zinc PCA;zinc pca
Tripeptide-1;tripeptide-1
Melaleuca Alternifolia Leaf Extract;melaleuca alternifolia leaf extract
Melaleuca Alternifolia Leaf Extract;tea tree leaf extract
Centella Asiatica Flower/Leaf/Stem Extract;centella asiatica flower/leaf/stem extract
Caprylyl Glycol;caprylyl glycol
Honey;honey
Honey;mel
Tetrahexyldecyl Ascorbate;tetrahexyldecyl ascorbate
Melaleuca Alternifolia Leaf Oil;melaleuca alternifolia leaf oil
Melaleuca Alternifolia Leaf Oil;tea tree oil
Melaleuca Alternifolia Leaf Oil;tea tree essential oil
Melaleuca Alternifolia Leaf Oil;tto
Titanium Dioxide;titanium dioxide
Titanium Dioxide;titanium
Titanium Dioxide;titanium dioxide (ci 77891)
Palmitoyl Pentapeptide-4;palmitoyl pentapeptide-4
Palmitoyl Pentapeptide-4;collagen pentapeptid
Palmitoyl Pentapeptide-4;kttks
Palmitoyl Pentapeptide-4;matrixyl
Parfum;parfum
Parfum;fragrance
Parfum;fragrance oil
Parfum;fo
Hexapeptide-9;hexapeptide-9
Ceramide 4;ceramide 4
Dipotassium Glycyrrhizate;dipotassium glycyrrhizate
Dipotassium Glycyrrhizate;licorice extractsweet root
Arginine;arginine
Arginine;l-arginine(2s)-2-amino-5-guanidinopentanoic acid
Rosa Canina Fruit Oil;rosa canina fruit oil
Rosa Canina Fruit Oil;rosehip seed oil
Rosa Canina Fruit Oil;rose hip oil
Rosa Canina Fruit Oil;rosehip essential oil
Sodium Benzoate;sodium benzoate
Polyglutamic Acid;polyglutamic acid
Polyglutamic Acid;natto gum
Polyglutamic Acid;gamma polyglutamic acid
Polyglutamic Acid;sodium polyglutamate
Pantothenic Acid;pantothenic acid
Pantothenic Acid;b5vitamin b5
Zinc Pyrithione;zinc pyrithione
Phenoxyethanol;phenoxyethanol
Phenoxyethanol;2-phenoxyethanol
Bacillus/Royal Jelly/Green Tea/Soybean Ferment Filtrate;bacillus/royal jelly/green tea/soybean ferment filtrate
Niacin;niacin
Niacin;nicotinic acid
Petrolatum;petrolatum
Petrolatum;petroleum jelly
Hydroquinone;hydroquinone
Sodium Ascorbyl Phosphate;sodium ascorbyl phosphate
Ethylhexylglycerin;ethylhexylglycerin
Palmitoyl Tripeptide-1;palmitoyl tripeptide-1
Palmitoyl Tripeptide-1;pal-ghkpalmitoyl oligopeptide
Palmitoyl Tetrapeptide-7;palmitoyl tetrapeptide-7
Xanthan Gum;xanthan gum
Xanthan Gum;xanthomonas campestris gum
Artemisia Vulgaris Extract;artemisia vulgaris extract
Artemisia Vulgaris Extract;mugwort extract
3-O-Ethyl Ascorbic Acid;3-o-ethyl ascorbic acid
3-O-Ethyl Ascorbic Acid;ethyl ascorbic acid
Ascorbyl Glucoside;ascorbyl glucoside
Ascorbyl Glucoside;aa2g
Resveratrol;resveratrol
Betaine Salicylate;betaine salicylate
Cetearyl Alcohol;cetearyl alcohol
Cetearyl Alcohol;(c16-c18) alkyl alcohol
Cetearyl Alcohol;c1618
Cetearyl Alcohol;c16-18 alcohols
Cetearyl Alcohol;cetostearyl alcohol
Cetearyl Alcohol;cetyl/stearyl alcohol
Sodium PCA;sodium pca
Sodium PCA;sodium 5-oxo-2-pyrrolidinecarboxylate
Asiaticoside;asiaticoside
Retinyl Palmitate;retinyl palmitate
Retinyl Palmitate;vitamin a palmitate
Magnesium Ascorbyl Phosphate;magnesium ascorbyl phosphate
Chamomilla Recutita Flower Extract;chamomilla recutita flower extract
Chamomilla Recutita Flower Extract;german chamomile flower oil
Camellia Sinensis Leaf;camellia sinensis leaf
Camellia Sinensis Leaf;green tea leaf
Dipeptide-2;dipeptide-2
Ceramide 5;ceramide 5
Ceramide 6 Ii;ceramide 6 ii
Kaolin;kaolin
Kaolin;kaolin clay
Kaolin;white clay
Kaolin;pink clay
Kaolin;magnesium silicate
Kaolin;china clay
Ascorbyl Tetraisopalmitate;ascorbyl tetraisopalmitate
Ascorbyl Tetraisopalmitate;atipthd ascorbate
Glutathione;glutathione
Ubiquinone;ubiquinone
Ubiquinone;coenzyme q10
Ubiquinone;coq10
Ubiquinone;ubiquinone-10
Disodium EDTA;disodium edta
Disodium EDTA;disodiumdisodium edetate
Argania Spinosa Kernel Oil;argania spinosa kernel oil
Argania Spinosa Kernel Oil;argan oilargan tree kernel oil
Aloe Vera Callus Extract;aloe vera callus extract
Calendula Officinalis Flower Extract;calendula officinalis flower extract
Calendula Officinalis Flower Extract;calendula
Calendula Officinalis Flower Extract;infused oil
Calendula Officinalis Flower Extract;pot marigold
Salix Alba Bark Extract;salix alba bark extract
Salix Alba Bark Extract;willow barkwhite willow bark extract
Madecassic Acid;madecassic acid
Linoleic Acid;linoleic acid
Linoleic Acid;lanolic acidvitamin f
Rice Ferment Filtrate;rice ferment filtrate
Helianthus Annuus Seed Oil;helianthus annuus seed oil
Helianthus Annuus Seed Oil;sunflower oilsunflower seed oil
Sodium Acetylated Hyaluronate;sodium acetylated hyaluronate
Hypochlorous Acid;hypochlorous acid
Ascorbyl Palmitate;ascorbyl palmitate
Ascorbyl Palmitate;ascorbyl-6 palmitate
Honey Extract;honey extract
Lactobacillus Ferment;lactobacillus ferment
Cannabis Sativa Seed Oil;cannabis sativa seed oil
Cannabis Sativa Seed Oil;hemp oilhemp seed oil
Biotin/Folic Acid/Cyanocobalamin/Niacinamide/Pantothenic Acid/Pyridoxine/Riboflavin/Thiamine/Yeast Polypeptides;biotin/folic acid/cyanocobalamin/niacinamide/pantothenic acid/pyridoxine/riboflavin/thiamine/yeast polypeptides
Palmitoyl Hexapeptide-12;palmitoyl hexapeptide-12
Camellia Sinensis Leaf Water;camellia sinensis leaf water
Sorbitol;sorbitol
Panax Ginseng Root Water;panax ginseng root water
Panax Ginseng Root Water;asian ginsengred ginseng
Ethylhexyl Triazone;ethylhexyl triazone
Ethylhexyl Triazone;octyltriazoneuvinul t 150
Phytosphingosine;phytosphingosine
Centella Asiatica Meristem Cell Culture;centella asiatica meristem cell culture
Ceramide Eos;ceramide eos
Centella Asiatica Root Extract;centella asiatica root extract
Silica;silica
Sodium Hyaluronate Crosspolymer;sodium hyaluronate crosspolymer
Propylene Glycol;propylene glycol
Propylene Glycol;methyl glycol
Propylene Glycol;1,2-dihydroxypropane
Propylene Glycol;trimethyl glycol
Propylene Glycol;1,2-propanediol
Retinyl Retinoate;retinyl retinoate
Bifida Ferment Filtrate;bifida ferment filtrate
Hydrolyzed Collagen;hydrolyzed collagen
Lactobionic Acid;lactobionic acid
Hamamelis Virginiana Water;hamamelis virginiana water
Hamamelis Virginiana Water;witch hazel water
Hydrolyzed Sodium Hyaluronate;hydrolyzed sodium hyaluronate
Hydrolyzed Sodium Hyaluronate;miniha
Sea Water;sea water
Glycine;glycine
Glycine;magnesium gluconate
Centella Asiatica Meristem Cell Culture Extract;centella asiatica meristem cell culture extract
Lactobacillus;lactobacillus
Folic Acid;folic acid
Folic Acid;folate
Folic Acid;vitamin b9
Folic Acid;folacin
Benzyl Benzoate;benzyl benzoate
Benzyl Benzoate;benzyl benzoate usp
Cicada Extract;cicada extract
Trehalose;trehalose
Trehalose;mycosetremalose
Cocos Nucifera Oil;cocos nucifera oil
Cocos Nucifera Oil;coconut oil
Linolenic Acid;linolenic acid
Linolenic Acid;ala
Linolenic Acid;alpha-linolenic acid
Linolenic Acid;omega-3 fatty acid
Palmitoyl Tripeptide-38;palmitoyl tripeptide-38
Camellia Oleifera Leaf Extract;camellia oleifera leaf extract
Camellia Oleifera Leaf Extract;tea oil camellia
Palmitoyl Tripeptide-5;palmitoyl tripeptide-5
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine;bis-ethylhexyloxyphenol methoxyphenyl triazine
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine;tinosorb sbemotrizinol
Glycyrrhiza Uralensis Root Extract;glycyrrhiza uralensis root extract
Glycyrrhiza Uralensis Root Extract;chinese licorice root extract
Aloe Barbadensis Leaf Water;aloe barbadensis leaf water
Malic Acid;malic acid
Honey/Panax Ginseng Root/Propolis/Royal Jelly/Scutellaria Baicalensis Root Extract;honey/panax ginseng root/propolis/royal jelly/scutellaria baicalensis root extract
Diethylamino Hydroxybenzoyl Hexyl Benzoate;diethylamino hydroxybenzoyl hexyl benzoate
Hamamelis Virginiana Extract;hamamelis virginiana extract
Hamamelis Virginiana Extract;witch hazel extract
Algae Extract;algae extract
Scutellaria Baicalensis Root Extract;scutellaria baicalensis root extract
Sh-Oligopeptide-1;sh-oligopeptide-1
Cocamidopropyl Betaine;cocamidopropyl betaine
Cocamidopropyl Betaine;1-propanaminium
Cocamidopropyl Betaine;hydroxide inner salt
Cocamidopropyl Betaine;capb
Saccharomyces/Rice Ferment Filtrate;saccharomyces/rice ferment filtrate
Rose Flower Oil;rose flower oil
Rose Flower Oil;rose ottorose otto essential oil
Capryloyl Salicylic Acid;capryloyl salicylic acid
Pentylene Glycol;pentylene glycol
Glyceryl Stearate;glyceryl stearate
Glyceryl Stearate;glyceryl stearate nseglyceryl stearate gms-nse
Oryza Sativa Bran Extract;oryza sativa bran extract
Oryza Sativa Bran Extract;rice bran extract
Cetyl Alcohol;cetyl alcohol
Glucose;glucose
Tremella Fuciformis Extract;tremella fuciformis extract
Tremella Fuciformis Extract;snow mushroom extractwhite jelly extract
Hydroxypinacolone Retinoate;hydroxypinacolone retinoate
Avena Sativa Kernel Flour;avena sativa kernel flour
Avena Sativa Kernel Flour;oatmeal powder
Saccharomyces Ferment Filtrate;saccharomyces ferment filtrate
Saccharomyces Ferment Filtrate;yeast fermentation filtrate
Xylitol;xylitol
Bentonite;bentonite
Bentonite;clay
Bentonite;glacial clay
Bentonite;bentonite clay
Oligopeptide-1;oligopeptide-1
Algae;algae
Rosmarinus Officinalis Leaf Extract;rosmarinus officinalis leaf extract
Rosmarinus Officinalis Leaf Extract;rosemary extract
Rosmarinus Officinalis Leaf Extract;roe
Rosmarinus Officinalis Leaf Extract;rosemary oleoresin
Sodium Chloride;sodium chloride
Sodium Chloride;salt
Sodium Chloride;table salt
Sodium Chloride;dendritic salt
Sodium Chloride;solar salt
Sodium Chloride;himalayan salt
Ectoin;ectoin
Vitis Vinifera Seed Oil;vitis vinifera seed oil
Vitis Vinifera Seed Oil;grape seed oilgrapeseed oil
Caprylic Acid;caprylic acid
Caprylic Acid;octanoic acid
Hydrogenated Lecithin;hydrogenated lecithin
Hydroxyethyl Urea;hydroxyethyl urea
Hydroxyethyl Urea;hydrovance
Proline;proline
Potassium Azeloyl Diglycinate;potassium azeloyl diglycinate
Potassium Azeloyl Diglycinate;azeloglicinaazeclair
Hydroxyacetophenone;hydroxyacetophenone
Carbomer;carbomer
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol;methylene bis-benzotriazolyl tetramethylbutylphenol
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol;tinosorb mbisoctrizole
Rice Amino Acids;rice amino acids
Serine;serine
Stearic Acid;stearic acid
Zinc Gluconate;zinc gluconate
Aloe Vera Vesicles;aloe vera vesicles
Olea Europaea Fruit Oil;olea europaea fruit oil
Olea Europaea Fruit Oil;olive oil
Oryza Sativa Bran Oil;oryza sativa bran oil
Oryza Sativa Bran Oil;rice bran oil
Portulaca Oleracea Extract;portulaca oleracea extract
Portulaca Oleracea Extract;purslane
Lanolin;lanolin
Lanolin;lanolin butter
Lanolin;wool fat
Lanolin;wool wax
Lactobacillus/Licorice Root Extract Ferment Filtrate;lactobacillus/licorice root extract ferment filtrate
Alanine;alanine
Hydrogenated Jojoba Oil;hydrogenated jojoba oil
Hydrogenated Jojoba Oil;jojoba wax beads
Vitis Vinifera Seed Extract;vitis vinifera seed extract
Vitis Vinifera Seed Extract;vitis vinifer seed extractgrape seed extract
Phospholipids;phospholipids
Chamomilla Recutita Extract;chamomilla recutita extract
Chamomilla Recutita Extract;matricaria (chamomilla recutita) extractmatricaria extract
Aloe Barbadensis Leaf Juice Powder;aloe barbadensis leaf juice powder
Panax Ginseng Extract;panax ginseng extract
Curcuma Longa Root Extract;curcuma longa root extract
Sodium Lactate;sodium lactate
Hydrogenated Polyisobutene;hydrogenated polyisobutene
Hydrogenated Polyisobutene;hydrogenated polyisobutane
Acetyl Octapeptide-3;acetyl octapeptide-3
Hippophae Rhamnoides Oil;hippophae rhamnoides oil
Hippophae Rhamnoides Oil;sea buckthorn berry oilseabuckthorn oil
Oryza Sativa Bran Water;oryza sativa bran water
Oryza Sativa Bran Water;rice bran water
Artemisia Annua Extract;artemisia annua extract
Artemisia Annua Extract;sweet wormwood extractannual mugwort extract
Lactobacillus Ferment Lysate;lactobacillus ferment lysate
Centella Asiatica Leaf Cell Culture Extract;centella asiatica leaf cell culture extract
Diethylhexyl Butamido Triazone;diethylhexyl butamido triazone
Diethylhexyl Butamido Triazone;iscotrizinol
Melaleuca Alternifolia Leaf Water;melaleuca alternifolia leaf water
Dipeptide Diaminobutyroyl Benzylamide Diacetate;dipeptide diaminobutyroyl benzylamide diacetate
Chondrus Crispus Extract;chondrus crispus extract
Chondrus Crispus Extract;irish moss extractcarrageen moss extract
Saccharomyces/Xylinum/Black Tea Ferment;saccharomyces/xylinum/black tea ferment
Acetyl Glucosamine;acetyl glucosamine
Acetyl Glucosamine;n-acetyl glucosamine
Limnanthes Alba Seed Oil;limnanthes alba seed oil
Limnanthes Alba Seed Oil;meadowfoam oil
Limnanthes Alba Seed Oil;meadow foam oil
Limnanthes Alba Seed Oil;meadowfoam seed oil
Shea Butter Ethyl Esters;shea butter ethyl esters
Avena Sativa Kernel Oil;avena sativa kernel oil
Avena Sativa Kernel Oil;colloidal oatmeal oil
Rosa Canina Seed Oil;rosa canina seed oil
Biotin;biotin
Persea Gratissima Oil;persea gratissima oil
Persea Gratissima Oil;avocado oilpersea americana oil
Pinus Pinaster Bark Extract;pinus pinaster bark extract
Pinus Pinaster Bark Extract;pine bark extractpine
Lactic Acid/Glycolic Acid Copolymer;lactic acid/glycolic acid copolymer
Cucumis Sativus Fruit Extract;cucumis sativus fruit extract
Collagen Amino Acids;collagen amino acids
Phytic Acid;phytic acid
Pentapeptide-18;pentapeptide-18
Tromethamine;tromethamine
Tromethamine;ketorolac
Tromethamine;tris
Tromethamine;tham
Ozonized Jojoba Oil;ozonized jojoba oil
Calcium Ascorbate;calcium ascorbate
Calcium Ascorbate;ester-cvitamin c ester
Bee Venom;bee venom
Bee Venom;apitoxin
Nonapeptide-1;nonapeptide-1
Lactobacillus/Rice Ferment;lactobacillus/rice ferment
Royal Jelly Extract;royal jelly extract
Sh-Polypeptide-1;sh-polypeptide-1
Paraffinum Liquidum;paraffinum liquidum
Paraffinum Liquidum;mineral oil
Chamomilla Recutita Leaf Extract;chamomilla recutita leaf extract
Chamomilla Recutita Leaf Extract;chamomile leaf
Hydrochloric Acid;hydrochloric acid
Artemisia Princeps Extract;artemisia princeps extract
Artemisia Princeps Extract;japanese mugwortyomogi
Pyrus Malus Fruit Extract;pyrus malus fruit extract
Pyrus Malus Fruit Extract;apple extract
Astaxanthin;astaxanthin
Astaxanthin;astaxanthin extract
Prunus Amygdalus Dulcis Oil;prunus amygdalus dulcis oil
Prunus Amygdalus Dulcis Oil;sweet almond oil
Prunus Amygdalus Dulcis Oil;bitter almond essential oil
Prunus Amygdalus Dulcis Oil;almond oil
Diglycerin;diglycerin
Jojoba Esters;jojoba esters
Sea Salt;sea salt
Sea Salt;dead sea salteuropean spa salt
Allantoin Panthenol;allantoin panthenol
Colloidal Oatmeal Extract;colloidal oatmeal extract
Calendula Officinalis Extract;calendula officinalis extract
Calendula Officinalis Extract;calendula total
Tazarotene;tazarotene
Aspartic Acid;aspartic acid
Dipropylene Glycol;dipropylene glycol
Dipropylene Glycol;dpg
Hydrolyzed Rice Protein;hydrolyzed rice protein
Lactobacillus/Centella Asiatica Extract Ferment Filtrate;lactobacillus/centella asiatica extract ferment filtrate
Shea Butter Glycerides;shea butter glycerides
Camellia Sinensis Extract;camellia sinensis extract
Soluble Collagen;soluble collagen
Chlorella Vulgaris Extract;chlorella vulgaris extract
Hexapeptide-11;hexapeptide-11
Camellia Sinensis Seed Oil;camellia sinensis seed oil
Camellia Sinensis Seed Oil;green tea seed oil
Ginkgo Biloba Leaf Extract;ginkgo biloba leaf extract
Ginkgo Biloba Leaf Extract;ginkgo leaf extractginkgo extract
Calophyllum Inophyllum Seed Oil;calophyllum inophyllum seed oil
Calophyllum Inophyllum Seed Oil;tamanu oil
Threonine;threonine
Rosa Damascena Flower Oil;rosa damascena flower oil
Rosa Damascena Flower Oil;rose oil
Rosa Damascena Flower Oil;rosa damascena (hydroessential rose) flower oil
Rosa Damascena Flower Oil;damask rose flower oil
Acetyl Tetrapeptide-2;acetyl tetrapeptide-2
Hyaluronic Acid/Polyglutamic Acid Crosspolymer;hyaluronic acid/polyglutamic acid crosspolymer
Palmitoyl Oligopeptide;palmitoyl oligopeptide
Decyl Glucoside;decyl glucoside
Panax Ginseng Root;panax ginseng root
Sclerocarya Birrea Seed Oil;sclerocarya birrea seed oil
Sclerocarya Birrea Seed Oil;marula seed oil
Acetyl Tetrapeptide-5;acetyl tetrapeptide-5
Lysine;lysine
Histidine;histidine
Bacillus/Cinnamomum Cassia Bark/Momordica Charantia/Opuntia Humifusa Fruit/Aloe Vera/Artemisia Vulgaris/Camellia Sinensis/Nelumbo Nucifera Leaf/Pueraria Thunbergiana Root Ferment Filtrate;bacillus/cinnamomum cassia bark/momordica charantia/opuntia humifusa fruit/aloe vera/artemisia vulgaris/camellia sinensis/nelumbo nucifera leaf/pueraria thunbergiana root ferment filtrate
Sodium Cocoyl Isethionate;sodium cocoyl isethionate
Benzoic Acid;benzoic acid
Betula Alba Juice;betula alba juice
Betula Alba Juice;birch juice
Saccharomyces Ferment;saccharomyces ferment
Astragalus Membranaceus Root Extract;astragalus membranaceus root extract
Astragalus Membranaceus Root Extract;milk vetchhuang qi
Sh-Oligopeptide-2;sh-oligopeptide-2
Selenium Sulfide;selenium sulfide
Sodium Salicylate;sodium salicylate
Saccharide Isomerate;saccharide isomerate
Tocopherol/Wheat Polypeptides;tocopherol/wheat polypeptides
Stearyl Alcohol;stearyl alcohol
Stearyl Alcohol;octadecan-1-ol
Centella Asiatica Oil;centella asiatica oil
Charcoal Powder;charcoal powder
Ficus Carica Fruit Extract;ficus carica fruit extract
Ficus Carica Fruit Extract;fig extractfig
Phenylalanine;phenylalanine
Maltodextrin;maltodextrin
Maltodextrin;honey powder
Lactococcus Ferment Lysate;lactococcus ferment lysate
Acetyl Dipeptide-1 Cetyl Ester;acetyl dipeptide-1 cetyl ester
Superoxide Dismutase;superoxide dismutase
Carica Papaya Fruit Extract;carica papaya fruit extract
Carica Papaya Fruit Extract;papaya extract
Carica Papaya Fruit Extract;pawpaw
Carica Papaya Fruit Extract;papaw
Prunus Armeniaca Kernel Oil;prunus armeniaca kernel oil
Prunus Armeniaca Kernel Oil;apricot kernel oil
Aloe Barbadensis Flower Extract;aloe barbadensis flower extract
Piroctone Olamine;piroctone olamine
Succinic Acid;succinic acid
Goat Milk;goat milk
Goat Milk;goats milk powder
Coco-Glucoside;coco-glucoside
Hexylresorcinol;hexylresorcinol
Lavandula Angustifolia Oil;lavandula angustifolia oil
Lavandula Angustifolia Oil;lavender oil
Lavandula Angustifolia Oil;lavender essential oil
Lavandula Angustifolia Oil;lavender 40/42 essential oil
Rose Extract;rose extract
Sodium Polyacrylate;sodium polyacrylate
Sodium Polyacrylate;waterlock
Ulmus Davidiana Root Extract;ulmus davidiana root extract
Ulmus Davidiana Root Extract;elm root extractslippery elm extract
Arnica Montana Flower Extract;arnica montana flower extract
Saccharomyces Polypeptides;saccharomyces polypeptides
Hippophae Rhamnoides Fruit Oil;hippophae rhamnoides fruit oil
Hippophae Rhamnoides Fruit Oil;seabuckthorn berry oil
Hippophae Rhamnoides Fruit Oil;sea buckthorn berry oil
Hippophae Rhamnoides Fruit Oil;sea buckthorn fruit oil
Valine;valine
Hippophae Rhamnoides Extract;hippophae rhamnoides extract
Hippophae Rhamnoides Extract;sea buckthorn extract
Royal Jelly;royal jelly
Cyclopentasiloxane;cyclopentasiloxane
Cyclopentasiloxane;decamethylcyclopentasiloxaned5
Rosa Canina Fruit Extract;rosa canina fruit extract
Rosa Canina Fruit Extract;rosehip extractrose hip extract
Fructooligosaccharides;fructooligosaccharides
Fructooligosaccharides;oligofructoseoligofructan
Lauric Acid;lauric acid
Zingiber Officinale Root Extract;zingiber officinale root extract
Zingiber Officinale Root Extract;gingerginger root
Ethylhexyl Salicylate;ethylhexyl salicylate
Ethylhexyl Salicylate;octisalateoctyl salicylate
