,name,synonym
5037,Styrax Benzoin Gum,"Benzoin Gum, Benzoin Powder,Gum Benzoin"
190,Benzyl Benzoate,Benzyl Benzoate Usp
5455,Citrus Aurantium Bergamia Peel Oil,Bergamot Essential Peel Oil
695,Citrus Aurantium Bergamia Fruit Oil,"Bergamot Fruit Oil, Bergamot Essential Oil"
2170,Zea Mays Oil,"Beta Carotene, Corn Oil"
45,Butylene Glycol,Bg
555,Betula Alba Bark Extract,"Birch Bark Extract, White Birch Extract"
2163,Betula Alba Bark Water,Birch Bark Water
6932,Betula Alba Bud Extract,Birch Bud Extract
325,Betula Alba Juice,Birch Juice
5524,Betula Alba Leaf Extract,Birch Leaf Extract
5327,Betula Alba Oil,Birch Oil
18786,Betula Alba Twig Extract,Birch Twig Extract
18534,Betula Alba Twig Oil,Birch Twig Oil
1877,Citrus Aurantium Amara Flower Oil,Bitter Orange Flower Oil / Neroli Oil
2731,Prunus Serotina Fruit Extract,Black Cherry Extract
1742,Cimicifuga Racemosa Root Extract,"Black Cohosh, Actaea Racemosa"
6227,Ribes Nigrum Seed Extract,Black Currant Extract
967,Ribes Nigrum Seed Oil,Black Currant Seed Oil
843,Sambucus Nigra Fruit Extract,Black Elderberry
71,Panax Ginseng Root Extract,"Black Ginseng Extract, Korean Ginseng,Korean Red Ginseng"
1494,Morus Nigra Fruit Extract,Black Mulberry
1060,Morus Nigra Root Extract,Black Mulberry Root
1132,Ci 77499,Black Oxide
20235,Piper Nigrum Seed Oil,Black Pepper Essential Oil
5196,Rubus Occidentalis Fruit Extract,Black Raspberry Fruit Extract
1640,Rubus Occidentalis Seed Oil,Black Raspberry Seed Oil
7588,Juglans Nigra Bark Extract,Black Walnut Bark Extract
6971,Juglans Nigra Leaf Extract,Black Walnut Leaf Extract
17016,Juglans Nigra Shell Extract,Black Walnut Shell Extract
917,Rubus Fruticosus Fruit Extract,Blackberry Extract
9620,Rubus Fruticosus Juice,Blackberry Juice
3811,Rubus Fruticosus Seed,Blackberry Seed
3657,Ribes Nigrum,Blackcurrant
1389,Fucus Vesiculosus,"Bladderwrack, Seaweed"
6726,Fuller's Earth,"Bleaching Clay, Whitening Clay"
411,Chamomilla Recutita Oil,"Blue Chamomile Oil, Chamomile Oil"
864,Ultramarines,"Blue Ultramarine Pigment, Ultramarine Blue Oxide, Ultramarine Pink,Ultramarine Violet"
374,Vaccinium Angustifolium Fruit Extract,"Blueberry Extract, Blueberry Fruit Extract"
7613,Vaccinium Angustifolium Fruit Juice,Blueberry Juice
7566,Vaccinium Angustifolium Seed,Blueberry Seeds
419,Borago Officinalis Seed Oil,"Borage Oil/Borage Seed Oil, Starflower"
3581,Sodium Borate,Borax
2060,Bertholletia Excelsa Seed Oil,Brazil Nut Oil
739,Brassica Oleracea Italica Extract,Broccoli Extract
1337,Brassica Oleracea Italica Seed Oil,Broccoli Seed Oil
462,Fucus Vesiculosus Extract,"Brown Algae, Fucus Vesiculosus Plant Extract,Brown Algae Extract"
852,Alaria Esculenta Extract,"Brown Seaweed, Badderlocks"
556,Arctium Lappa Root Extract,Burdock Root
897,Mauritia Flexuosa Fruit Oil,"Buriti Fruit, Buriti Fruit Oil"
17,BHA,Butylated Hydroxyanisole
489,BHT,Butylated Hydroxytoluene
7661,Juniperus Oxycedrus Wood Tar,Cade Essential Oil
451,Calendula Officinalis Flower,Calendula Flower
311,Calendula Officinalis Extract,Calendula Total
128,Calendula Officinalis Flower Extract,"Calendula, Infused Oil,Pot Marigold"
2542,Euphorbia Cerifera Cera,Candelilla Wax
649,Cannabidiol - Synthetically Produced,Cannabidiol
6844,Eriocephalus Punctulatus Oil,Cape Chamomile Oil
809,Caramel,Caramel Color
35,Urea,Carbamide
1216,Cellulose Gum,Carboxymethyl Cellulose
6531,Elettaria Cardamomum Fruit Extract,Cardamom Fruit Extract
2423,Elettaria Cardamomum Seed Extract,"Cardamom Select, Cardamom Seed,Cardamom Seed Extract"
2313,Ci 75470,"Carmine, Cochineal"
2298,Copernicia Cerifera Wax,Carnauba Wax
20030,Ceratonia Siliqua Gum,"Carob Gum, Locust Bean Gum"
1630,Daucus Carota Fruit Oil,Carrot Fruit Oil
5760,Daucus Carota Sativa Root Powder,Carrot Powder
826,Daucus Carota Sativa Root Extract,"Carrot Root Total, Carrot Root Extract,Carrot Root"
469,Daucus Carota Sativa Seed Oil,"Carrot Seed Oil, Carrot Seed Essential Oil"
3214,Cinnamomum Cassia Leaf Oil,Cassia Essential Oil
529,Ricinus Communis Seed Oil,"Castor Oil, Castor"
422,Hydrogenated Castor Oil,Castor Wax
3295,Nepeta Cataria Extract,Catnip
13737,Nepeta Cataria,Catnip Powder
349,Cannabidiol - Derived From Extract Or Tincture Or Resin Of Cannabis,Cbd
3310,Cedrus Atlantica Bark Oil,"Cedarwood Essential Oil, Cedarwood Bark Oil"
3037,Juniperus Virginiana Oil,Cedarwood Oil / Cedar Wood Oil
4358,Apium Graveolens Extract,Celery Extract
59,Ceramide Ng,Ceramide 2
18,Ceramide NP,"Ceramide NP, 2-Octadecanamide, Stearoyl-C18-Phytosphingosine,Stearoyl-4-Hydroxysphinganine"
3218,Ceresin,Ceresin Wax
597,Chamomilla Recutita Flower,Chamomile Flower
563,Chamomilla Recutita Flower Water,Chamomile Flower Water
6771,Chamomilla Recutita Flower Powder,Chamomile Flowers
291,Chamomilla Recutita Leaf Extract,Chamomile Leaf
1322,Vitex Agnus-Castus Extract,Chasteberry Extract
5341,Taraktogenos Kurzii Seed Oil,Chaulmoogra Oil
2047,Prunus Avium Fruit,Cherry
7216,Prunus Avium Seed Oil,Cherry Seed Oil
1244,Castanea Crenata Shell Extract,Chestnut Shell Extract
7256,Cicer Arietinum Seed Powder,"Chick Pea Flour, Chickpea"
1224,Stellaria Media Extract,"Chickweed, Chickweed Extract"
733,Aristotelia Chilensis Fruit Extract,"Chilean Wineberry, Maqui"
398,Melia Azadirachta Flower Extract,"Chinaberry Flower, Persian Lilac Flower,Indian Lilac Flower"
358,Melia Azadirachta Leaf Extract,"Chinaberry, China Berry, Pride Of India, Bead-Tree, Cape Lilac, Syringa Berrytree, Persian Lilac, Indian Lilac,White Cedar"
177,Glycyrrhiza Uralensis Root Extract,Chinese Licorice Root Extract
1317,Diospyros Kaki Leaf Extract,"Chinese Persimmon Leaf Extract, Japanese Persimmon Leaf Extract, Kaki Persimmon Leaf Extract,Oriental Persimmon Leaf Extract"
3564,Ci 77288,Chromium Oxide Green
3016,Cinnamal,Cinnamaldehyde
1012,Camphor,Cinnamomum Camphora
4899,Cinnamomum Cassia Bark,Cinnamon
6800,Cinnamomum Zeylanicum Leaf Oil,Cinnamon Leaf Essential Oil
5148,Cymbopogon Nardus Oil,Citronella Essential Oil
3616,Salvia Sclarea Oil,"Clary Sage Oil, Clary Sage Essential Oil"
200,Bentonite,"Clay, Glacial Clay,Bentonite Clay"
7562,Eugenia Caryophyllus Flower Oil,Clove Bud Essential Oil
5289,Eugenia Caryophyllus Leaf Oil,Clove Leaf Essential Oil
1212,Eugenol,Clove Oil
4504,Cnidium Monnieri Fruit Extract,Cnidium
4030,Theobroma Cacao Fruit Powder,"Cocoa, Cocoa Powder"
426,Theobroma Cacao Seed Butter,Cocoa Butter
533,Theobroma Cacao Extract,"Cocoa Extract, Cocoa Select"
719,Cocos Nucifera Fruit Extract,Coconut Fruit Extract
181,Cocos Nucifera Oil,Coconut Oil
4026,Cocos Nucifera Fruit Powder,Coconut Powder
130,Ubiquinone,"Coenzyme Q10, Coq10,Ubiquinone-10"
709,Coffea Arabica Seed Oil,"Coffee Bean Oil, Coffee Butter"
5072,Coffea Arabica Seed Powder,Coffee Bean Powder
77,Palmitoyl Pentapeptide-4,"Collagen Pentapeptid, Kttks,Matrixyl"
243,Avena Sativa Kernel Oil,Colloidal Oatmeal Oil
1902,Phaseolus Vulgaris Seed Extract,Common Bean Extract
379,Corallina Officinalis Extract,"Coral Weed, Red Kelp"
7812,Coriandrum Sativum Seed Oil,Coriander Seed Essential Oil
941,Centaurea Cyanus Flower Water,Cornflower
5969,Zea Mays Kernel Meal,Cornmeal
8367,Zea Mays Silk Extract,Cornsilk
642,Zea Mays Starch,"Cornstarch, Purity 21c"
1290,Gossypium Herbaceum Seed Oil,"Cottonseed Oil, Cotton Seed Oil"
1071,Vaccinium Macrocarpon Fruit Extract,Cranberry Extract
7418,Vaccinium Macrocarpon Fruit Powder,Cranberry Powder
7173,Vaccinium Macrocarpon Seed,Cranberry Seed
718,Vaccinium Macrocarpon Seed Oil,Cranberry Seed Oil
5849,Larrea Tridentata Extract,"Creosote Bush, Greasewood, Chaparral,Gobernadora"
6518,Hydrogenated Vegetable Oil,Crisco Shortening
538,Cucumis Sativus Fruit,Cucumber
560,Cyclomethicone,"Cyclomethicone Nf, Cyclosiloxane"
4182,Cupressus Sempervirens Oil,Cypress Essential Oil
4411,Ci 26100,D & C Red #17
4863,Ci 73360,D & C Red #30
4408,Ci 12085,"D & C Red #36, Red 36"
3139,Ci 14700,"D & C Red #4, Red 4"
3427,Ci 16035,"D & C Red #40, Red 40,Allura Red Ac"
4534,Ci 17200,"D&C Red 33, Red 33"
1803,Ci 45410,"D&C Red No. 27, D&C Red No. 28"
551,Cyclohexasiloxane,D6
1951,Bellis Perennis Flower Extract,Daisy Extract
1407,Taraxacum Officinale Extract,Dandelion Extract
4099,Taraxacum Officinale Leaf Extract,Dandelion Leaf Extract
1392,Maris Limus Extract,"Dead Sea Extract, Sea Silt Extract"
286,Sea Salt,"Dead Sea Salt, European Spa Salt"
329,Cyclopentasiloxane,"Decamethylcyclopentasiloxane, D5"
4118,Decyl Alcohol,Decan-1-Ol
810,Capric Acid,"Decanoic Acid, Decylic Acid"
748,Tripeptide-10 Citrulline,Decorinyl
9031,Denatonium Benzoate,"Denatonium, Denatrol"
521,Alcohol Denat.,"Denatured Alcohol, Ethanol"
4282,Dihydroxyacetone,Dha
600,Ethoxydiglycol,Diethylene Glycol Monoethyl Ether
4795,Citronellol,Dihydrogeraniol
6927,Diisopropyl Dimer Dilinoleate,Diisopropyl Dimerate
1351,Peucedanum Graveolens Extract,"Dill Extract, Dill,Dillweed"
4162,Dicaprylyl Maleate,Dioctyl Malate
3029,Dicapryl Succinate,Dioctyl Succinate
125,Disodium EDTA,"Disodium, Disodium Edetate"
2080,Disodium Oleamido Peg-2 Sulfosuccinate,Disodium Monooleamido Peg 2-Sulfosuccinate
507,Behenyl Alcohol,"Docosan-1-Ol, 1-Docosanol"
1914,Lauryl Alcohol,"Dodecan-1-Ol, Dodecanol"
300,Dipropylene Glycol,Dpg
4737,Corn Starch Modified,Dryflow Nf Pure
905,Disodium Cocoamphodiacetate,Dscada
8282,Rhodymenia Palmata Extract,"Dulse, Dillisk, Dilsk, Red Dulse,Sea Lettuce Flakes"
