,name,synonym,all_possible_synonyms,all_possible_synonyms_formatted,all_possible_synonyms_tok
30,"1,6-Hdi/Polyvinyl Alcohol/Ethylenediamine Crosspolymer",,"1,6-Hdi/Polyvinyl Alcohol/Ethylenediamine Crosspolymer",1.6-Hdi/Polyvinyl Alcohol/Ethylenediamine Crosspolymer,"1,6-hdi/polyvinyl alcohol/ethylenediamine crosspolymer"
31,"1,6-Hexamethylene Diisocyanate",,"1,6-Hexamethylene Diisocyanate",1.6-Hexamethylene Diisocyanate,"1,6-hexamethylene diisocyanate"
32,"1,6-Hexanediamine",,"1,6-Hexanediamine",1.6-Hexanediamine,"1,6-hexanediamine"
33,"10-Hydroxy-1,8-P-Menthadiene",,"10-Hydroxy-1,8-P-Menthadiene",10-Hydroxy-1.8-P-Menthadiene,"10-hydroxy-1,8-p-menthadiene"
34,10-Hydroxydecanoic Acid,,10-Hydroxydecanoic Acid,10-Hydroxydecanoic Acid,10-hydroxydecanoic acid
35,10-Hydroxydecenoic Acid,,10-Hydroxydecenoic Acid,10-Hydroxydecenoic Acid,10-hydroxydecenoic acid
36,10-Hydroxystearic Acid,,10-Hydroxystearic Acid,10-Hydroxystearic Acid,10-hydroxystearic acid
37,10-Undecenyl Acetate,,10-Undecenyl Acetate,10-Undecenyl Acetate,10-undecenyl acetate
38,16-Alpha Ethyl Estradiolcarboxylate,,16-Alpha Ethyl Estradiolcarboxylate,16-Alpha Ethyl Estradiolcarboxylate,16-alpha ethyl estradiolcarboxylate
39,16-Beta Methyl Estradiolpropanoate,,16-Beta Methyl Estradiolpropanoate,16-Beta Methyl Estradiolpropanoate,16-beta methyl estradiolpropanoate
40,1-Acetonaphthone,,1-Acetonaphthone,1-Acetonaphthone,1-acetonaphthone
41,1-Acetoxy-2-Methylnaphthalene,,1-Acetoxy-2-Methylnaphthalene,1-Acetoxy-2-Methylnaphthalene,1-acetoxy-2-methylnaphthalene
42,"1-Allyl-3,4,6-Trimethyl-2-Pyrimidone Bromide",,"1-Allyl-3,4,6-Trimethyl-2-Pyrimidone Bromide",1-Allyl-3.4.6-Trimethyl-2-Pyrimidone Bromide,"1-allyl-3,4,6-trimethyl-2-pyrimidone bromide"
43,1-Ethyl-3-Methoxy-Tricycloheptane,,1-Ethyl-3-Methoxy-Tricycloheptane,1-Ethyl-3-Methoxy-Tricycloheptane,1-ethyl-3-methoxy-tricycloheptane
44,"1-Ethylcyclohexane-1,4-Dimethanol",,"1-Ethylcyclohexane-1,4-Dimethanol",1-Ethylcyclohexane-1.4-Dimethanol,"1-ethylcyclohexane-1,4-dimethanol"
