IngredientIdentifier,Name,Description,CASCODE,ECHA_LINK,EntityId,CategoryId,Carcinogens,EndocrineDisruptors,Allergen,SkinIrritant,Id,CreatedBy,CreatedOn,LastModifiedBy,LastModifiedOn,IsActive,column3
G05461,Crocus Chrysanthus (Crocus) Bulb Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3670,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05462,Potassium Hydroxides,,,,,1,FALSE,FALSE,FALSE,FALSE,3671,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05463,Potassium Isostearate,,,,,1,FALSE,FALSE,FALSE,FALSE,3672,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05464,Potassium Lactate,,,,,1,FALSE,FALSE,FALSE,FALSE,3673,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05465,Potassium Palmitate,,,,,1,FALSE,FALSE,FALSE,FALSE,3674,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05466,Potassium Pca,,,,,1,FALSE,FALSE,FALSE,FALSE,3675,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05467,Glycine Soja (Soybean) Seed Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3676,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05468,Potassium Phosphate,,,,,1,FALSE,FALSE,FALSE,FALSE,3677,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05469,Potassiumcetyl Phosphate,,,,,1,FALSE,FALSE,FALSE,FALSE,3678,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05470,Ppg-12 Dimethicone,,,,,1,FALSE,FALSE,FALSE,FALSE,3679,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05471,Chondrus Crispus (Carrageenan) Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3680,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05472,Cucumis Sativus (Cucumber) Seed Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3681,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05473,Ppg-14 Butyl Ether,,,,,1,FALSE,FALSE,FALSE,FALSE,3682,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05474,Ppg-15 Stearyl Ether,,,,,1,FALSE,FALSE,FALSE,FALSE,3683,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05475,Ppg-17/Ipdi/Dmpa Copolymer,,,,,1,FALSE,FALSE,FALSE,FALSE,3684,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05476,Pg-2 Hydroxyethyl Cocamide,,,,,1,FALSE,FALSE,FALSE,FALSE,3685,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05477,Ppg-2-Deceth-30,,,,,1,FALSE,FALSE,FALSE,FALSE,3686,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05478,Ppg-3 Methyl Ether,,,,,1,FALSE,FALSE,FALSE,FALSE,3687,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05479,Ppg-3 Myristyl Ether,,,,,1,FALSE,FALSE,FALSE,FALSE,3688,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05480,Ppg-5-Cetech-20,,,,,1,FALSE,FALSE,FALSE,FALSE,3689,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05481,Propolis Cera,,,,,1,FALSE,FALSE,FALSE,FALSE,3690,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05482,Eleutherococcus Senticosus (Ginseng) Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3691,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05483,Iris Sibirica Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3692,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05484,Piper Nigrum Seed Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3693,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05485,Juniperus Communis Wood Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3694,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05486,Propylene,,,,,1,FALSE,FALSE,FALSE,FALSE,3695,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05487,Propylene Glycol Carbomer,,,,,1,FALSE,FALSE,FALSE,FALSE,3696,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05488,Propylene Glycol Dibenzoate,,,,,1,FALSE,FALSE,FALSE,FALSE,3697,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05489,Oenothera Biennis (Evening Primrose) Seed Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3698,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05490,Oxidized Corn Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3699,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05491,Citrus Unshiu Peel Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3700,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05492,Jasminum Officinale (Jasmine) Oil,,,,,1,FALSE,FALSE,FALSE,FALSE,3701,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05493,Propylene Glycol Dicaprylate/Dicaprate,,,,,1,FALSE,FALSE,FALSE,FALSE,3702,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05494,Himanthalia Elongata Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,3703,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G05495,Propylene Glycol Isostearate,,,,,1,FALSE,FALSE,FALSE,FALSE,3704,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
