Ingredient ID,Ingredient,Usage,No.of products contained in
113,Polyglutamic Acid,Skin Conditioning,274
114,Zinc Pyrithione,"Antiseborrhoeic, Preservative",37
115,Sodium Benzoate,"Masking, Preservative",5296
116,Rosa Canina Fruit Oil,"Emollient, Skin Conditioning",619
117,Arginine,"Masking, Skin Conditioning",2043
118,Ceramide 4,Skin Conditioning,20
119,Hexapeptide-9,Skin Conditioning,128
120,Dipotassium Glycyrrhizate,"Humectant, Skin Conditioning",1419
121,Kaolin,"Absorbent, Cosmetic Colorant, Abrasive",946
122,Rice Ferment Filtrate,Skin Conditioning,73
123,Salix Alba Bark Extract,"Astringent, Skin Conditioning, Soothing",606
124,Linoleic Acid,"Cleansing, Emollient, Skin Conditioning",452
125,Aloe Vera Callus Extract,"Humectant, Skin Conditioning, Antioxidant",18
126,Disodium EDTA,"Chelating, Viscosity Controlling",7695
127,Madecassic Acid,Skin Conditioning,499
128,Calendula Officinalis Flower Ext...,"Masking, Perfuming, Skin Conditioning",793
129,Glutathione,Reducing,322
130,Argania Spinosa Kernel Oil,"Emollient, Skin Conditioning",1120
131,Ubiquinone,"Skin Conditioning, Antioxidant",400
132,Ascorbyl Tetraisopalmitate,"Emollient, Skin Conditioning, Antioxidant",577
133,Ceramide 5,Skin Conditioning,5
134,Helianthus Annuus Seed Oil,"Emollient, Masking, Skin Conditioning",3458
135,Ceramide 6 Ii,Skin Conditioning,49
136,Betaine Salicylate,Antimicrobial,85
137,Dipeptide-2,Skin Conditioning,81
138,Chamomilla Recutita Flower Extract,"Masking, Skin Conditioning",1304
139,Camellia Sinensis Leaf,"Perfuming, Skin Conditioning",139
140,Magnesium Ascorbyl Phosphate,"Skin Conditioning, Antioxidant",288
141,Retinyl Palmitate,Skin Conditioning,705
142,Cetearyl Alcohol,"Emollient, Emulsifying, Emulsion Stabilising",4534
143,Sodium Hyaluronate Crosspolymer,"Humectant, Skin Conditioning",868
144,Centella Asiatica Meristem Cell ...,"Antioxidant, Skin Protecting",20
145,Asiaticoside,"Skin Conditioning, Antioxidant",599
146,Silica,"Absorbent, Abrasive",3570
147,Sodium PCA,"Humectant, Skin Conditioning",1386
148,Propylene Glycol,"Humectant, Skin Conditioning, Solvent",3282
149,Retinyl Retinoate,Skin Conditioning,12
150,Ceramide Eos,Skin Conditioning,55
151,Centella Asiatica Root Extract,Skin Conditioning,52
152,Hydrolyzed Collagen,"Emollient, Humectant, Skin Conditioning",637
153,Bifida Ferment Filtrate,Skin Conditioning,60
154,Lactobionic Acid,Buffering,125
155,Ethylhexyl Triazone,"UV Absorber, UV Filter",582
156,Asiatic Acid,"Skin Conditioning, Stabilising",497
157,Ascorbyl Palmitate,"Masking, Antioxidant",1045
158,Honey Extract,"Humectant, Skin Conditioning",301
159,Sodium Acetylated Hyaluronate,Humectant,791
160,Sorbitol,"Humectant, Masking, Skin Conditioning",960
161,Phytosphingosine,Skin Conditioning,686
162,Panax Ginseng Root Water,"Masking, Skin Protecting, Tonic",33
163,Cannabis Sativa Seed Oil,"Emollient, Skin Conditioning",280
164,Hypochlorous Acid,Antiseborrhoeic,12
165,Camellia Sinensis Leaf Water,"Masking, Perfuming, Tonic",155
166,Biotin/Folic Acid/Cyanocobalamin...,Skin Conditioning,2
167,Palmitoyl Hexapeptide-12,Skin Conditioning,146
168,Malic Acid,Buffering,278
169,Lactobacillus Ferment,Skin Conditioning,631
170,Camellia Oleifera Leaf Extract,"Astringent, Skin Conditioning",164
171,Bis-Ethylhexyloxyphenol Methoxyp...,"Skin Conditioning, UV Absorber, UV Filter",755
172,Palmitoyl Tripeptide-5,Skin Conditioning,308
173,Scutellaria Baicalensis Root Ext...,"Astringent, Humectant, Soothing",660
174,Aloe Barbadensis Leaf Water,Masking,95
175,Algae Extract,"Emollient, Humectant, Masking",373
176,Honey/Panax Ginseng Root/Propoli...,"Emollient, Skin Conditioning",0
177,Glycyrrhiza Uralensis Root Extract,Skin Conditioning,127
178,Hamamelis Virginiana Extract,"Antiseborrhoeic, Astringent, Skin Conditioning",288
179,Palmitoyl Tripeptide-38,Skin Conditioning,128
180,Linolenic Acid,"Cleansing, Emollient, Perfuming",217
181,Diethylamino Hydroxybenzoyl Hexy...,UV Filter,662
182,Cocos Nucifera Oil,"Masking, Perfuming, Skin Conditioning",1541
183,Cicada Extract,"Astringent, Skin Conditioning, Antioxidant",3
184,Trehalose,"Humectant, Moisturising",1294
185,Hamamelis Virginiana Water,"Astringent, Skin Conditioning, Soothing",470
186,Lactobacillus,Skin Conditioning,339
187,Folic Acid,Skin Conditioning,178
188,Glycine,"Skin Conditioning, Buffering",780
189,(Licorice/Reynoutria Japonica) R...,Antioxidant,0
190,Benzyl Benzoate,"Antimicrobial, Perfuming, Solvent",877
191,Hydroxypinacolone Retinoate,Skin Conditioning,86
192,Hydrolyzed Sodium Hyaluronate,Skin Conditioning,666
193,Oligopeptide-1,Skin Conditioning,82
194,Sea Water,"Humectant, Solvent",259
195,Centella Asiatica Meristem Cell ...,"Emollient, Skin Conditioning",0
196,Ectoin,Skin Conditioning,233
197,Algae,Skin Conditioning,17
198,Caprylic Acid,"Cleansing, Emulsifying, Masking",725
199,Bentonite,"Absorbent, Emulsion Stabilising",407
200,Xylitol,"Humectant, Skin Conditioning",837
201,Saccharomyces Ferment Filtrate,Humectant,148
202,Sodium Chloride,Masking,3640
203,Rosmarinus Officinalis Leaf Extract,"Antimicrobial, Masking, Skin Conditioning",1546
204,Vitis Vinifera Seed Oil,"Emollient, Skin Conditioning",880
205,Cetyl Alcohol,"Emollient, Emulsifying, Emulsion Stabilising",2595
206,Tremella Fuciformis Extract,"Humectant, Skin Conditioning",164
207,Avena Sativa Kernel Flour,"Absorbent, Abrasive",194
208,Sh-Oligopeptide-1,Skin Conditioning,113
209,Oryza Sativa Bran Extract,"Skin Conditioning, Skin Protecting",453
210,Glucose,Humectant,1076
211,Pentylene Glycol,"Skin Conditioning, Solvent",3962
212,Glyceryl Stearate,"Emollient, Emulsifying",4218
213,Hydrogenated Jojoba Oil,"Emollient, Skin Conditioning, Abrasive",83
214,Portulaca Oleracea Extract,Skin Conditioning,739
215,Rose Flower Oil,Masking,85
