Ingredient ID,Ingredient,Usage,No.of products contained in
3295,Sodium Hyaluronate Crosspolymer-3,"Humectant, Skin Conditioning",8
3296,Lythrum Salicaria Extract,Astringent,6
3297,Camellia Oleifera Seed Extract,"Astringent, Tonic",11
3298,Sd Alcohol 40-B,"Astringent, Solvent",87
3299,Zanthoxylum Piperitum Peel Extract,Antimicrobial,6
3300,Disodium Glucose Phosphate,Emollient,1
3301,Magnolia Acuminata Flower Extract,Skin Conditioning,3
3302,Plumeria Rubra Flower Extract,Skin Conditioning,28
3303,Myristica Fragrans Kernel Oil,"Masking, Skin Conditioning",26
3304,Dimethylacrylamide,"",6
3305,Tripropylene Glycol,"Emulsion Stabilising, Humectant, Antioxidant",9
3306,Cedrus Atlantica Bark Oil,"Masking, Perfuming, Skin Conditioning",97
3307,Diphenylsiloxy Phenyl Trimethicone,Skin Conditioning,134
3308,Isopropyl Titanium Triisostearate,"Emollient, Emulsifying",121
3309,Phaseolus Radiatus Seed Powder,Viscosity Controlling,6
3310,Cocoa Butter Peg-8 Esters,Emollient,1
3311,Polyglyceryl Dimer Soyate,Emulsifying,1
3312,Calcium Lactate,"Astringent, Buffering",43
3313,Carica Papaya Fruit Water,Skin Conditioning,13
3314,Hexanediol,Solvent,27
3315,Santalum Austrocaledonicum Wood Oil,"Masking, Perfuming",7
3316,Prunus Persica Gum,Viscosity Controlling,2
3317,Gleditsia Triacanthos Seed Extract,Hair Conditioning,9
3318,Ethylhexyl Isononanoate,Emollient,80
3319,Ppg-20 Methyl Glucose Ether Dist...,"Emollient, Skin Conditioning",3
3320,Murraya Koenigii Stem Extract,Skin Conditioning,1
3321,Peg-7 Trimethylolpropane Coconut...,Emulsifying,37
3322,Methyl Methacrylate/Glycol Dimet...,Film Forming,22
3323,Calcium Behenate,"Anticaking, Opacifying, Viscosity Controlling",2
3324,Peg-6 Beeswax,Emulsifying,0
3325,Salicylyl Beeswax,"Emollient, Humectant",0
3326,Peg-8 Beeswax,Emulsifying,25
3327,Ascorbyl Linoleate,"Bleaching, Skin Conditioning, Antioxidant",5
3328,Quercus Acutissima Fruit Extract,Astringent,2
3329,Caryodendron Orinocense Nut Oil,"Emollient, Skin Conditioning",1
3330,Pfaffia Paniculata Root Extract,Soothing,12
3331,Ptychopetalum Olacoides Bark/Ste...,Skin Conditioning,5
3332,Calanthe Discolor Extract,Skin Conditioning,15
3333,Lilium Candidum Flower Extract,Skin Conditioning,35
3334,Polyglyceryl-4 Caprylate,"Emollient, Emulsifying",3
3335,N-Hydroxysuccinimide,Skin Conditioning,90
3336,Calcium Gluconate,"Humectant, Skin Conditioning",303
3337,Zinc Coceth Sulfate,"Cleansing, Emulsifying",8
3338,Diospyros Kaki Fruit Extract,Skin Conditioning,24
3339,Trideceth-9,Emulsifying,59
3340,Myrtus Communis Leaf Extract,"Perfuming, Skin Conditioning",9
3341,Peg-5 Ethylhexanoate,Emulsifying,8
3342,Stearyl/Octyldodecyl Citrate Cro...,Humectant,3
3343,Citrus Tangerina Peel Oil,"Masking, Skin Conditioning",70
3344,Dipentaerythrityl Hexahydroxyste...,"Emulsifying, Skin Conditioning, Smoothing",32
3345,Olive Alcohol,Emulsion Stabilising,1
3346,C12-14 Pareth-7,Emulsifying,4
3347,Commiphora Abyssinica Resin Extract,Skin Conditioning,7
3348,Sodium Diethylenetriamine Pentam...,Chelating,3
3349,Peg-8 Dimethicone,Emulsifying,40
3350,Lauryl Peg-9 Polydimethylsiloxye...,Skin Conditioning,181
3351,Cetyl Peg/Ppg-15/15 Butyl Ether ...,"Emulsifying, Skin Conditioning",2
3352,Hexyldecyl Laurate,"Emollient, Skin Conditioning",17
3353,Myrothamnus Flabellifolia Callus...,"Humectant, Skin Conditioning, Antioxidant",8
3354,Isostearamidopropyl Ethyldimoniu...,"Antistatic, Hair Conditioning",3
3355,Rhus Semialata Gall Extract,Skin Conditioning,25
3356,Tricaprylin,"Masking, Perfuming, Skin Conditioning",50
3357,Glycyrrhiza Inflata Root Extract,Skin Conditioning,85
3358,Octyldodecyl Neopentanoate,Emollient,101
3359,Ppg-6-Decyltetradeceth-30,Emulsifying,31
3360,Polyurethane-2,Film Forming,1
3361,Tetrafluoropropene,Propellant,6
3362,Cetearyl Nonanoate,Emollient,24
3363,C30-45 Alkyl Methicone,"Emollient, Skin Conditioning",16
3364,Althaea Rosea Flower Water,"Skin Conditioning, Solvent",1
3365,Ppg-17-Buteth-17,Skin Conditioning,4
3366,Sorbitan Oleate Decylglucoside C...,"Cleansing, Emulsifying",95
3367,Ammonium Acrylates Copolymer,"Antistatic, Binding, Film Forming",29
3368,Stearyl Pg-Dimonium Chloride Pho...,"Antistatic, Hair Conditioning",1
3369,Pyrus Communis Flower Water,Skin Conditioning,1
3370,Magnolia Liliflora Flower Extract,Skin Conditioning,20
3371,Ppg-10 Methyl Glucose Ether,Skin Conditioning,28
3372,Bacillus/Citrus Unshiu Peel Extr...,"Antimicrobial, Emollient",1
3373,Citrus Junos Peel Oil,Astringent,23
3374,Disodium Succinate,Masking,31
3375,Musa Sapientum Leaf Extract,Skin Conditioning,10
3376,Hydrolyzed Royal Jelly Extract,Skin Conditioning,1
3377,Terminalia Arjuna Bark Extract,Skin Conditioning,2
3378,Tilia Cordata Extract,"Refreshing, Skin Conditioning, Skin Protecting",5
3379,Citrus Paradisi Juice,"Perfuming, Skin Conditioning",21
3380,Propylene Glycol Dicaprylate/Dic...,Emollient,155
3381,Thymus Mastichina Herb Oil,Perfuming,1
3382,Myristoyl Pullulan,"Hair Waving Or Straightening, Film Forming",12
3383,Laurdimonium Hydroxypropyl Hydro...,"Antistatic, Hair Conditioning",9
3384,C30-38 Olefin/Isopropyl Maleate/...,Emulsifying,5
3385,Acrylates/Ethylhexyl Acrylate/Di...,Skin Conditioning,12
3386,Opuntia Ficus-Indica Stem,"Humectant, Skin Conditioning",8
3387,Arginine Ferulate,Skin Conditioning,14
3388,Rhus Semialata Extract,Skin Conditioning,4
3389,Sophora Angustifolia Root Extract,Skin Conditioning,65
3390,Dipeptide-10,Skin Conditioning,1
3391,Polylysine,Hair Conditioning,18
3392,Sodium Silicate,Buffering,10
3393,Baptisia Tinctoria Root Extract,Skin Conditioning,20
3394,Aniba Rosodora Wood Oil,"Astringent, Masking, Skin Conditioning",48
3395,Peg-8 Methyl Ether Triethoxysilane,Surfactant,3
3396,Schisandrin,Bleaching,2
3397,Sargachromanol C,Skin Conditioning,1
3398,Sambucus Nigra Flower Extract,"Refreshing, Skin Conditioning, Soothing",96
3399,Momordica Charantia Fruit Extract,Skin Conditioning,14
3400,Aphanothece Sacrum Polysaccharide,"Absorbent, Emulsion Stabilising",12
3401,Montan/Stearic Glycerides,"Emollient, Skin Conditioning",1
3402,Hylocereus Undatus Fruit Extract,"Skin Conditioning, Skin Protecting",53
3403,Thymus Mastichina Flower Oil,Skin Conditioning,9
3404,Prunus Amygdalus Amara Kernel Oil,"Masking, Perfuming",19
3405,Butylene Glycol Isostearates,"Emulsifying, Emulsion Stabilising",1
3406,Eugenia Caryophyllus Bud Oil,"Masking, Perfuming",29
3407,Eugenia Caryophyllus Flower Extract,"Astringent, Masking, Tonic",38
3408,Peg-15/Lauryl Dimethicone Crossp...,Stabilising,3
3409,Steareth-2,Emulsifying,206
3410,Polyglyceryl-6 Dioleate,Emulsifying,2
3411,Caprooyl Sphingosine,Skin Conditioning,55
3412,Ci 19140,Cosmetic Colorant,1471
3413,Plumeria Acutifolia Flower Extract,Skin Conditioning,24
3414,Coriandrum Sativum Seed Extract,Skin Conditioning,4
3415,Vaccinium Myrtillus Leaf Cell Ex...,Skin Conditioning,1
3416,Acrylates/C12-22 Alkyl Methacryl...,Film Forming,30
3417,Peg-8/Smdi Copolymer,Film Forming,17
3418,Saccharomyces/Calcium Ferment,Skin Conditioning,3
3419,Ci 77742,Cosmetic Colorant,330
3420,Isopropylphthalimide,"Skin Conditioning, Solvent",1
3421,Benzophenone-3,"UV Absorber, UV Filter",180
3422,10-Hydroxydecanoic Acid,Skin Conditioning,17
3423,Capryl Dimethicone,Emollient,1
3424,Rosa Davurica Bud Extract,"Skin Conditioning, Antioxidant",12
3425,Ligularia Fishceri Leaf Extract,Skin Conditioning,6
3426,Saxifraga Sarmentosa Extract,Skin Conditioning,31
3427,Ci 16035,Cosmetic Colorant,291
3428,Diethylhexyl Ipdi,"Binding, Film Forming",5
3429,Coco-Caprylate,Emollient,394
3430,Citrus Limon Leaf Oil,"Masking, Perfuming",15
3431,Cupressus Sempervirens Leaf Oil,"Masking, Perfuming, Skin Conditioning",8
3432,Polyester-6,Emulsifying,1
3433,Phenylisopropyl Dimethicone,Skin Conditioning,15
3434,Cedrus Atlantica Wood Oil,Perfuming,9
3435,Tridecyl Salicylate,Skin Conditioning,30
3436,Methylheptyl Isostearate,Skin Conditioning,22
3437,Polyglyceryl-4 Diisostearate/Pol...,"Emulsifying, Emulsion Stabilising",111
3438,Artemisia Absinthium Extract,Skin Conditioning,53
3439,Polyacrylate-15,Film Forming,3
3440,Helianthus Annuus Flower,Skin Conditioning,2
3441,Raphanus Sativus Seed Extract,Skin Conditioning,48
3442,Hydrolyzed Beeswax,"Emulsifying, Emulsion Stabilising, Stabilising",2
3443,Ferric Chloride,Astringent,7
3444,Ammonium Acryloyldimethyltaurate...,Emulsion Stabilising,125
3445,Lauryl Acrylate,"",5
3446,Fusidium Coccineum Ferment Filtrate,Skin Conditioning,4
3447,Rosa Alba Flower Extract,"Emollient, Perfuming",7
3448,Polyester-8,Skin Conditioning,37
3449,Caprylyl Trisiloxane,Skin Conditioning,2
3450,Pistacia Lentiscus Gum,Masking,60
3451,Peg/Ppg-20/15 Dimethicone,Emulsifying,11
3452,Tetrapeptide-16,Skin Conditioning,2
3453,Pentasodium Triphosphate,Buffering,6
3454,Va/Butyl Maleate/Isobornyl Acryl...,Film Forming,11
3455,Ecklonia Cava Extract,Skin Conditioning,56
3456,Meadowfoam Estolide,Skin Conditioning,20
3457,Peg-240/Hdi Copolymer Bis-Decylt...,Stabilising,55
3458,Diisopropyl Sebacate,"Emollient, Skin Conditioning, Solvent",167
3459,Dimethylacrylamide/Acrylic Acid/...,Skin Conditioning,4
3460,Citrus Reticulata Leaf Oil,"Masking, Perfuming, Skin Conditioning",17
3461,Gossypium Herbaceum Extract,Skin Conditioning,40
3462,Syzygium Jambos Leaf Extract,Skin Conditioning,9
3463,Cinnamomum Zeylanicum Bark Extract,"Antimicrobial, Astringent, Emollient",59
3464,Butylene Glycol Cocoate,"Emulsifying, Emulsion Stabilising",38
3465,Mimosa Tenuiflora Bark Extract,"Skin Protecting, Soothing",25
3466,Eschscholzia Californica Leaf Ce...,Skin Protecting,4
3467,Polybutylene Glycol/Ppg-9/1 Copo...,Skin Conditioning,6
3468,Sulfated Castor Oil,"Cleansing, Emulsifying, Humectant",61
3469,Malt Juice,Skin Conditioning,13
3470,Peg/Ppg-14/7 Dimethyl Ether,Skin Conditioning,52
3471,Hydrolyzed Malt Extract,Skin Conditioning,18
3472,Polyglyceryl-10 Pentaisostearate,"Emollient, Emulsifying",19
3473,Methylene Glycol,Antimicrobial,1
3474,Peg-32,"Humectant, Solvent",175
3475,Lavandula Stoechas Extract,Masking,26
3476,Peg/Ppg-9/2 Dimethyl Ether,Skin Conditioning,5
3477,Trihydroxystearin,Skin Conditioning,284
3478,Acetyl Tyrosine,"Skin Conditioning, Tanning",20
3479,Eucalyptus Globulus Leaf,Skin Conditioning,8
3480,Hydrated Silica,"Absorbent, Abrasive",200
3481,Thymus Vulgaris Leaf Extract,Skin Protecting,48
3482,Sodium Propoxyhydroxypropyl Thio...,"",9
3483,Casearia Sylvestris Leaf Extract,Skin Conditioning,6
3484,Zinc Carbonate,Opacifying,26
3485,Schinus Terebinthifolia Leaf Ext...,Skin Conditioning,5
3486,Sodium Potassium Aluminum Silicate,Bulking,25
3487,Paeonia Albiflora Root Powder,Skin Conditioning,1
3488,Orchid Leaf/Root/Stem Extract,Skin Conditioning,4
3489,Melaleuca Alternifolia Leaf Powder,Abrasive,1
3490,Benzylidene Dimethoxydimethylind...,Skin Protecting,14
3491,Polyester-27,Film Forming,7
3492,Daucus Carota Sativa Seed Extract,"Emollient, Skin Conditioning",5
3493,Oligopeptide-10,"Antimicrobial, Skin Conditioning",16
3494,Hydrolyzed Wheat Protein/Pvp Cro...,"Hair Conditioning, Film Forming",21
3495,Limonium Gerberi Extract,Skin Protecting,10
3496,Ppg-2 Myristyl Ether Propionate,"Emollient, Skin Conditioning",29
3497,Moringa Oleifera Leaf Water,Skin Conditioning,5
3498,Butyl Maleate,"",1
3499,Vp/Hexadecene Copolymer,"Binding, Film Forming, Viscosity Controlling",154
3500,Zinc Undecylenate,Antimicrobial,1
3501,Castanea Sativa Leaf Extract,"Skin Conditioning, Soothing",2
3502,Pelargonium Roseum Stem Oil,Perfuming,11
3503,Peucedanum Ostruthium Leaf Extract,Skin Conditioning,19
3504,Prunus Amygdalus Dulcis Seed Meal,Abrasive,43
3505,Rosa Centifolia Flower,"Masking, Skin Conditioning",13
3506,Crocus Sativus Stigma Water,Skin Conditioning,1
3507,Boswellia Sacra Resin Oil,"Emollient, Masking, Perfuming",3
3508,Acrylates/Octylacrylamide Copolymer,Film Forming,48
3509,Bis-(Polyglyceryl-3 Oxyphenylpro...,Skin Conditioning,1
3510,Polyglyceryl-3 Stearate/Isostear...,"Humectant, Skin Conditioning",5
3511,Capparis Spinosa Fruit Extract,Skin Conditioning,6
3512,Polyglyceryl-3 Sorbityl Linseedate,Emulsifying,2
3513,Poloxamer 407,Emulsifying,54
3514,Hydroxypropylcellulose,"Emulsifying, Emulsion Stabilising",60
3515,Tea-Lauryl Ether,Antistatic,1
3516,Peg-40 Glyceryl Isostearate,"Cleansing, Emulsifying",1
3517,Saccharin,Masking,43
3518,Propylene Glycol Dicaprate,Emollient,65
3519,Tocopheryl Linoleate/Oleate,"Skin Conditioning, Antioxidant",12
3520,Canarium Commune Gum Oil,"Masking, Tonic",14
3521,Aluminum PCA,"Astringent, Skin Conditioning",5
3522,Methoxyethanol,Solvent,4
3523,Toluene,"Antioxidant, Solvent",6
3524,Acetone,Solvent,18
3525,Bisphenol A Bis-Ether,"",1
3526,N-Butyl Alcohol,"Perfuming, Solvent",23
3527,Butyloctanoic Acid,"Cleansing, Emulsifying",2
3528,Dioxolane,Solvent,3
3529,Methyl Glucose Sesquistearate,"Emollient, Emulsifying, Skin Conditioning",117
3530,Glyceryl Undecylenate,"Emollient, Emulsifying, Skin Conditioning",139
3531,Simethicone,"Emollient, Skin Conditioning",126
3532,Sphinganine,Skin Conditioning,6
3533,Cinnamyl Alcohol,Perfuming,103
3534,Hydrogenated Glyceryl Abietate,Emulsion Stabilising,1
3535,Rubus Chamaemorus Seed Extract,Skin Conditioning,32
3536,Peg-8 Laurate,Emulsifying,61
3537,Sodium Dodecylbenzenesulfonate,"Cleansing, Emulsifying",19
3538,Maclura Cochinchinensis Leaf Pre...,"",12
3539,Sanguisorba Officinalis Root Ext...,"Cleansing, Refreshing, Skin Conditioning",27
3540,Lens Esculenta Seed Extract,Skin Protecting,37
3541,Tetraselmis Chui Extract,"Emollient, Skin Conditioning",6
3542,Silybum Marianum Ethyl Ester,Skin Conditioning,15
3543,Propanediol Dicaprylate,"Emollient, Skin Conditioning, Solvent",18
3544,C20-22 Alkyl Phosphate,Emulsifying,54
3545,Hexyl Laurate,"Emollient, Skin Conditioning",163
3546,Propylene Glycol Dibenzoate,Skin Conditioning,37
3547,Cassia Alata Leaf Extract,Astringent,32
3548,Ci 77015,Cosmetic Colorant,223
3549,Neopentyl Glycol,Solvent,8
3550,Chrysanthemum Indicum Flower Ext...,Skin Conditioning,52
3551,Cetearyl Dimethicone Crosspolymer,"",29
3552,Amaranthus Caudatus Seed Oil,"Emollient, Skin Conditioning",9
3553,C18-38 Alkyl Hydroxystearoyl Ste...,"Emollient, Emulsion Stabilising",22
3554,Chloroxylenol,"Antimicrobial, Preservative",18
3555,Lauryl Lactate,"Emollient, Skin Conditioning",41
3556,Pongamia Glabra Seed Oil,Skin Conditioning,22
3557,Polyglyceryl-10 Decaoleate,Skin Conditioning,4
3558,Stevia Rebaudiana Leaf/Stem Powder,Skin Conditioning,1
3559,Menthyl Lactate,"Masking, Refreshing",186
3560,Cetyl Phosphate,Emulsifying,109
3561,Dimethicone/Peg-10 Crosspolymer,"Emollient, Emulsifying, Skin Conditioning",5
3562,Ci 77288,Cosmetic Colorant,202
3563,Citrus Aurantifolia Leaf Extract,Skin Conditioning,6
3564,Platinum Powder,"Skin Conditioning, Abrasive",5
3565,Gamma-Nonalactone,"Masking, Perfuming, Skin Conditioning",13
3566,Passiflora Incarnata Extract,Astringent,20
3567,Citrus Aurantifolia Peel Extract,"Cleansing, Perfuming, Skin Conditioning",46
3568,Cedrus Atlantica Bark Extract,"Perfuming, Skin Conditioning",19
3569,Artemisia Umbelliformis Extract,Skin Conditioning,21
3570,Methoxy Amodimethicone/Silsesqui...,Skin Conditioning,5
3571,Octoxynol-9,Emulsifying,11
3572,Polyester-7,Skin Conditioning,42
3573,Steareth-100,Gel Forming,32
3574,"Diethylhexyl 2,6-Naphthalate","Emollient, Skin Conditioning, Solvent",22
3575,Sapindus Trifoliatus Fruit Extract,Skin Conditioning,19
3576,Polyquaternium-67,"Antistatic, Hair Conditioning, Film Forming",46
3577,Disodium Coco-Glucoside Citrate,Emulsifying,27
3578,Stevia Rebaudiana Leaf Extract,"Emollient, Skin Conditioning",9
3579,Sodium Borate,Buffering,25
3580,Ceteareth-6,Emulsifying,13
3581,Cocoglycerides,"Emollient, Emulsifying, Skin Conditioning",134
3582,Cetearyl Dimethicone,Emollient,10
3583,Polyglyceryl-3 Di-Hydroxystearate,"Emollient, Emulsifying, Skin Conditioning",1
3584,Citrus Natsudaidai Peel Extract,Humectant,2
3585,Polyamide-8,"Emollient, Skin Conditioning, Skin Protecting",19
3586,Cassia Italica Leaf Extract,Skin Conditioning,3
3587,Hydrogenated Soy Polyglycerides,Skin Conditioning,11
3588,Trimethylolpropane Triethylhexan...,"Emollient, Skin Conditioning",8
3589,Trimethylpentanediol/Adipic Acid...,Skin Conditioning,9
3590,Aluminum Stearate,"Cosmetic Colorant, Emulsion Stabilising",81
3591,Rhodomyrtus Tomentosa Fruit Extract,Humectant,16
3592,Ppg-5-Laureth-5,"Emollient, Emulsifying",10
3593,Magnesium Carbonate Hydroxide,Buffering,4
3594,Hydrolyzed Elastin,"Emollient, Skin Conditioning",80
3595,Hydroxyethoxyphenyl Butanone,"Preservative, Skin Conditioning",1
3596,"2-Oleamido-1,3-Octadecanediol",Skin Conditioning,67
3597,Fagus Sylvatica Bud Extract,Tonic,22
3598,Hydroxycyclohexyl Ethyltrisiloxa...,Emollient,1
3599,Gentiana Lutea Root Extract,Skin Conditioning,71
3600,Stearyl Heptanoate,"Emollient, Skin Conditioning",46
3601,Peg-35 Castor Oil,Emulsifying,14
3602,Trioctyldodecyl Citrate,"Emollient, Skin Conditioning",31
3603,Sodium Xylenesulfonate,Hydrotrope,17
3604,Dimethicone Peg-8 Beeswax,"Emollient, Emulsifying, Skin Conditioning",1
3605,Tetradecene,"Emollient, Solvent",27
3606,Coconut Oil Ethyl Esters,"Emollient, Skin Conditioning, Skin Protecting",16
3607,Dimethiconol Beeswax,Skin Conditioning,0
3608,Coconut Oil Polyglyceryl-6 Esters,"Emollient, Emulsifying",1
3609,Coconut Oil Methylpropanediol Es...,"Emollient, Emulsion Stabilising, Skin Conditioning",1
3610,Rhus Verniciflua Peel Wax,"",30
3611,Sh-Polypeptide-59,Skin Conditioning,2
3612,Evernia Prunastri Extract,Perfuming,16
3613,Geranial,Perfuming,1
3614,Sh-Polypeptide-31,Skin Conditioning,1
3615,Citrus Limon Leaf Extract,Perfuming,4
3616,Cereus Jamacaru Extract,"Humectant, Skin Conditioning",1
3617,Cinnamomum Camphora Linaloolifer...,Perfuming,2
3618,Anogeissus Leiocarpa Bark Extract,"Skin Conditioning, Skin Protecting",3
3619,Acrylic Acid/C12-22 Alkyl Acryla...,Stabilising,1
3620,Cetyl Behenate,"",4
3621,Hexadecene,Solvent,101
3622,Aleuritic Acid,Skin Conditioning,6
3623,Dimer Tripeptide-43,"",2
3624,Amaranthus Spinosus Seed Oil,"Emollient, Skin Conditioning",3
3625,Lawsonia Inermis Flower/Fruit/Le...,Masking,5
3626,Hydroxyapatite,"Skin Conditioning, Abrasive",25
3627,Citrullus Lanatus Seed Extract,Skin Conditioning,12
3628,Clematis Vitalba Leaf Extract,Skin Conditioning,5
3629,Methoxy Peg-7,"Humectant, Solvent",1
3630,Benincasa Cerifera Fruit Extract,Skin Conditioning,6
3631,Pigment Red 57:1,Cosmetic Colorant,1
3632,Methoxyisopropyl Acetate,Solvent,1
3633,Ptfe,Bulking,45
3634,Cucurbitaceae Extract,Skin Conditioning,2
3635,Cyathea Medullaris Leaf Extract,Skin Conditioning,4
3636,Actinidia Polygama Fruit Extract,Skin Conditioning,11
3637,Acetylated Lanolin Alcohol,"Emollient, Emulsifying, Skin Conditioning",14
3638,Arginine Glutamate,Skin Conditioning,1
3639,Hydrogenated Apricot Oil Unsapon...,Skin Conditioning,0
3640,Citrus Tangerina Peel,Abrasive,4
3641,Pentaerythrityl Tetraisostearate,"Emollient, Emulsifying",309
3642,Benzimidazole Diamond Amidoethyl...,Cosmetic Colorant,4
3643,Saccharomyces/Grape Ferment Extract,Skin Conditioning,59
3644,Erica Cinerea Flower Extract,"Skin Conditioning, Tonic",1
3645,Delta-Dodecalactone,Perfuming,1
3646,Quaternium-33,"Antistatic, Hair Conditioning",12
3647,Ethylhexyl Pelargonate,Emollient,10
3648,Buddleja Officinalis Flower Extract,UV Filter,25
3649,Beheneth-30,"Cleansing, Emulsifying",17
3650,Ribes Nigrum,"Emollient, Humectant, Skin Conditioning",11
3651,Ficus Carica Fruit Powder,Skin Conditioning,1
3652,Vinylamine/Vinylformamide Copolymer,Hair Conditioning,1
3653,Centipeda Cunninghamii Extract,Skin Conditioning,11
3654,Bambusa Vulgaris Callus Culture ...,Skin Conditioning,13
3655,Dimer Dilinoleyl Hydrogenated Ro...,"Emollient, Skin Conditioning",3
3656,Albizia Julibrissin Bark Extract,"Masking, Skin Conditioning",80
3657,Chamaecyparis Obtusa Branch/Leaf...,"Humectant, Skin Conditioning",2
3658,C18-36 Acid Glycol Ester,"Emollient, Emulsifying, Skin Conditioning",10
3659,Hydrolyzed Caesalpinia Spinosa Gum,"Absorbent, Emollient, Skin Conditioning",28
3660,Bis-Octyldodecyl Dimer Dilinolea...,"Emollient, Skin Conditioning",6
3661,Actinidia Chinensis Fruit Water,Masking,21
3662,Sanicula Europaea Extract,"Skin Conditioning, Soothing",4
3663,Sodium Lauroyl Glutamate,"Antistatic, Hair Conditioning, Surfactant",188
3664,Prunus Cerasus Fruit Extract,"Skin Conditioning, Antioxidant",10
3665,Hydrolyzed Ginseng Root,Skin Conditioning,1
3666,Polydiethylsiloxane,Emollient,24
3667,Cinnamomum Camphora Bark Oil,"Masking, Skin Conditioning, Tonic",47
3668,Bis-Piperazine,Tanning,1
3669,C12-20 Acid Peg-8 Ester,Emulsifying,27
3670,Lauryl Peg-8 Dimethicone,Surfactant,40
3671,Gossypium Herbaceum Seed Extract,Skin Conditioning,30
3672,Boswellia Serrata Gum Extract,Skin Conditioning,2
3673,Bis-Peg-12 Dimethicone Beeswax,Skin Conditioning,12
3674,Argan Oil Isostearyl Esters,"Emollient, Skin Conditioning",0
3675,Behenyl Beeswax,Skin Conditioning,4
3676,Butyloctyl Beeswax,"Emollient, Skin Conditioning",0
3677,C16-17 Alkyl Benzoate,"Antimicrobial, Emollient, Skin Conditioning",15
3678,Buddleja Davidii Callus Extract,"",1
3679,Stearyl Triethoxysilane,Binding,1
3680,Actinidia Chinensis Seed Oil,"Emollient, Skin Conditioning",27
3681,Brassica Napus Extract,Skin Conditioning,14
3682,Hydroxypropyltrimonium Maltodext...,Surfactant,8
3683,Ethylenediamine,"",4
3684,Vitis Vinifera Seed Powder,Emollient,7
3685,Yucca Schidigera Root Extract,Skin Conditioning,42
3686,Hydrolyzed Oat Protein,Skin Conditioning,34
3687,Capryl/Capramidopropyl Betaine,"Cleansing, Skin Conditioning",15
3688,Portulaca Grandiflora Extract,Skin Conditioning,6
3689,Dicrateria Rotunda Oil,Skin Conditioning,4
3690,Choleth-24,Emulsifying,48
3691,Caprylyl 2-Glyceryl Ascorbate,"Humectant, Antioxidant",1
3692,Chlamydomonas Reinhardtii Extract,"Humectant, Skin Conditioning",4
3693,Haematococcus Pluvialis Powder,Antioxidant,2
3694,Dimethicone Silylate,Antifoaming,22
3695,Eurya Japonica Extract,Skin Conditioning,1
3696,Carthamus Tinctorius Seedcake Ex...,Skin Protecting,2
3697,Dimethicone Crosspolymer-3,Skin Conditioning,21
3698,Poterium Officinale Root Extract,"Antimicrobial, Tonic",4
3699,Vitis Vinifera Flower Cell Extract,"Masking, Skin Protecting",11
3700,Margarita Powder,Abrasive,6
3701,Citrus Sinensis Peel Oil Expressed,Perfuming,69
3702,Citrus Clementina Juice,Skin Conditioning,1
3703,Cucumis Sativus Seed Oil,"Emollient, Skin Conditioning",38
3704,Ostrea Shell Extract,"",2
3705,Hydrolyzed Soy Flour,Skin Conditioning,18
3706,Benzotriazolyl Dodecyl P-Cresol,UV Absorber,61
3707,Cymbopogon Flexuosus Oil,Masking,34
3708,Ceteareth-22,Emulsifying,5
3709,Isopropyl Hexanoate,Perfuming,1
3710,Citrus Limon Bud Extract,"Humectant, Skin Conditioning",5
3711,Citrus Limon Leaf Cell Extract,Skin Conditioning,7
3712,Isopropyl Octanoate,Perfuming,1
3713,Castor Isostearate Beeswax Succi...,Skin Conditioning,2
3714,Indigofera Tinctoria Leaf Powder,Skin Conditioning,1
3715,Cetyl Dimethicone,Emollient,181
3716,Thiodipropionic Acid,Skin Conditioning,2
3717,Hydrolyzed Rhodophyceae Extract,"",32
3718,Cymbopogon Citratus Leaf/Stem Oil,"Masking, Skin Conditioning",7
3719,Colocasia Antiquorum Root Extract,Skin Conditioning,9
3720,Tri (Polyglyceryl-3/Lauryl) Hydr...,Emulsifying,15
3721,Chlorophene,"Antimicrobial, Preservative",2
3722,Atractylodes Macrocephala Root P...,"Humectant, Skin Conditioning",4
3723,Gynostemma Pentaphyllum Leaf/Ste...,"Astringent, Emollient, Antioxidant",9
3724,Citrus Aurantium Amara Leaf/Twig...,Skin Conditioning,12
3725,Jasminum Sambac Leaf Cell Extract,"Masking, Perfuming, Skin Protecting",10
3726,Salinicoccus Lysate Filtrate,Skin Conditioning,2
3727,Phytol,"Emollient, Masking, Perfuming",19
3728,Cucurbita Maxima Fruit Extract,Skin Conditioning,5
3729,Schinus Molle Extract,Skin Protecting,8
3730,Salvia Sclarea Oil,"Masking, Tonic",154
3731,Tocopheryl Nicotinate,"Skin Conditioning, Antioxidant, Skin Protecting",11
3732,Eupenicillium Crustaceum Ferment...,Skin Conditioning,0
3733,Hexacarboxymethyl Dipeptide-12,Humectant,1
3734,Coconut Oil Aminoethoxyethanol A...,Foaming,1
3735,Hamamelis Virginiana Flower Water,"Astringent, Skin Conditioning, Soothing",14
3736,Abies Alba Seed Extract,"Antimicrobial, Bleaching, Skin Conditioning",5
3737,"Alpha,Alpha-Dimethyl-Vinyl-O-Men...",Perfuming,0
3738,Agastache Mexicana Flower/Leaf/S...,"Skin Conditioning, Skin Protecting",25
3739,Isoeugenol,Perfuming,101
3740,10-Hydroxydecenoic Acid,Skin Conditioning,5
3741,Hexadimethrine Chloride,Antistatic,3
3742,Tetrasodium Etidronate,Emulsion Stabilising,91
3743,Hydroxypropyltrimonium Honey,"Antistatic, Hair Conditioning",15
